Year,Servicios esenciales,Units,Value
2018,,%,70.7
2012,,%,69.3
2015,,%,69.9
2014,,%,69.7
2020,,%,71.6
2017,,%,69.7
2016,,%,70.2
2023,,%,70.3
2022,,%,69.5
2019,,%,70.8
2021,,%,71.8
2018,Educación,%,10.8
2015,Educación,%,10.9
2019,Educación,%,10.7
2020,Educación,%,10.1
2012,Educación,%,11.1
2021,Educación,%,10.4
2022,Educación,%,10.2
2016,Educación,%,10.9
2017,Educación,%,10.9
2014,Educación,%,10.9
2023,Educación,%,10.2
2024,Educación,%,10.5
2020,Salud,%,13.9
2021,Salud,%,14.4
2022,Salud,%,14.0
2019,Salud,%,14.0
2023,Salud,%,13.8
2010,Salud,%,13.7
2012,Salud,%,13.7
2011,Salud,%,13.8
2013,Salud,%,13.6
2014,Salud,%,13.4
2015,Salud,%,13.7
2016,Salud,%,13.8
2017,Salud,%,13.7
2018,Salud,%,14.0
2015,Protección social,%,45.3
2016,Protección social,%,45.5
2017,Protección social,%,45.1
2018,Protección social,%,45.9
2019,Protección social,%,46.1
2020,Protección social,%,47.6
2021,Protección social,%,47.0
2022,Protección social,%,45.3
2023,Protección social,%,46.3
2024,Protección social,%,47.8
2010,Protección social,%,40.3
2011,Protección social,%,42.0
2012,Protección social,%,44.5
2013,Protección social,%,45.9
2014,Protección social,%,45.4
