Year,Series,Partículas en suspensión,Units,Value
2014,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,9.2
2021,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,10.0
2013,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,10.5
2018,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,9.9
2011,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,11.1
2020,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,8.8
2019,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,9.0
2015,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,10.1
2010,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,11.3
2022,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,10.4
2016,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,8.6
2017,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,9.8
2012,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),"PM 2,5",Microgramos por metro cúbico,10.1
2022,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,17.7
2015,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,17.9
2019,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,16.3
2010,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,24.2
2021,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,16.1
2011,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,27.0
2017,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,17.9
2012,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,26.7
2018,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,16.7
2013,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,15.9
2016,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,15.3
2020,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,15.6
2014,Niveles medios anuales de partículas finas en suspensión (PM2.5 y PM10) en las ciudades (ponderados según la población),PM 10,Microgramos por metro cúbico,17.4
