Year,Sexo,Units,Value
2018,,Por 100.000,16.0
2023,,Por 100.000,29.8
2021,,Por 100.000,18.2
2022,,Por 100.000,21.2
2019,,Por 100.000,17.5
2024,,Por 100.000,34.6
2016,,Por 100.000,14.3
2017,,Por 100.000,15.8
2020,,Por 100.000,15.9
2015,,Por 100.000,6.5
2017,Mujer,Por 100.000,20.4
2016,Mujer,Por 100.000,19.5
2019,Mujer,Por 100.000,22.0
2018,Mujer,Por 100.000,19.7
2015,Mujer,Por 100.000,9.2
2020,Mujer,Por 100.000,21.0
2021,Mujer,Por 100.000,24.9
2022,Mujer,Por 100.000,27.2
2023,Mujer,Por 100.000,39.2
2024,Mujer,Por 100.000,41.6
2022,Hombre,Por 100.000,14.8
2018,Hombre,Por 100.000,12.1
2016,Hombre,Por 100.000,8.9
2015,Hombre,Por 100.000,3.7
2023,Hombre,Por 100.000,20.0
2024,Hombre,Por 100.000,27.2
2019,Hombre,Por 100.000,12.8
2020,Hombre,Por 100.000,10.6
2017,Hombre,Por 100.000,10.9
2021,Hombre,Por 100.000,11.2
