Year,Series,Territorio histórico,Units,Value
2022,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),,Organizaciones,93
2023,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),,Organizaciones,99
2021,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),,Organizaciones,85
2023,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Araba/Álava,Organizaciones,9
2021,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Araba/Álava,Organizaciones,8
2022,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Araba/Álava,Organizaciones,9
2021,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Bizkaia,Organizaciones,47
2023,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Bizkaia,Organizaciones,53
2022,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Bizkaia,Organizaciones,48
2021,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Gipuzkoa,Organizaciones,30
2022,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Gipuzkoa,Organizaciones,36
2023,Número de organizaciones con Sistema comunitario de gestión y auditoría medioambiental (EMAS),Gipuzkoa,Organizaciones,37
2021,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,57
2017,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,43
2023,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,61
2020,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,55
2013,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,18
2010,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,13
2018,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,52
2016,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,40
2015,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,19
2012,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,16
2022,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,58
2019,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,51
2011,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,15
2014,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),,Licencias,19
2022,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),Araba/Álava,Licencias,14
2021,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),Araba/Álava,Licencias,14
2021,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),Bizkaia,Licencias,26
2022,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),Bizkaia,Licencias,25
2022,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),Gipuzkoa,Licencias,19
2021,Número de licencias de Ecolabel (Etiqueta Ecológica Europea ),Gipuzkoa,Licencias,17
