Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2012,,,,,Por 100.000 habitantes,,0.0
2015,,,,,Por 100.000 habitantes,,0.09
2020,,,,,Por 100.000 habitantes,,0.05
2017,,,,,Por 100.000 habitantes,,0.23
2014,,,,,Por 100.000 habitantes,,0.05
2011,,,,,Por 100.000 habitantes,,0.14
2018,,,,,Por 100.000 habitantes,,0.18
2023,,,,,Por 100.000 habitantes,,0.09
2022,,,,,Por 100.000 habitantes,,0.27
2024,,,,,Por 100.000 habitantes,,0.18
2016,,,,,Por 100.000 habitantes,,0.14
2021,,,,,Por 100.000 habitantes,,0.0
2010,,,,,Por 100.000 habitantes,,0.18
2013,,,,,Por 100.000 habitantes,,0.14
2019,,,,,Por 100.000 habitantes,,0.09
2024,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2012,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2021,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2022,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2010,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2011,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2016,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2017,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2018,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2023,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2013,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2020,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2015,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2014,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2019,,,,Abadiño,Por 100.000 habitantes,Abadiño,0.0
2010,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2018,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2016,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2024,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2021,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2020,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2014,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2017,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2023,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2015,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2019,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2013,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2022,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2012,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2011,,,,Abaltzisketa,Por 100.000 habitantes,Abaltzisketa,0.0
2010,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2020,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2016,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2014,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2017,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2022,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2011,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2023,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2015,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2024,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2021,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2013,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2012,,,,Abanto y Ciérvana-Abanto Zierbena,Por 100.000 habitantes,Abanto y Ciérvana-Abanto Zierbena,0.0
2024,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2013,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2014,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2019,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2011,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2020,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2022,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2021,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2010,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2016,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2018,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2012,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2023,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2015,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2017,,,,Aduna,Por 100.000 habitantes,Aduna,0.0
2014,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2010,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2020,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2024,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2023,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2018,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2019,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2012,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2021,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2016,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2015,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2022,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2013,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2017,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2011,,,,Agurain/Salvatierra,Por 100.000 habitantes,Agurain/Salvatierra,0.0
2017,,,,Aia,Por 100.000 habitantes,Aia,0.0
2010,,,,Aia,Por 100.000 habitantes,Aia,0.0
2013,,,,Aia,Por 100.000 habitantes,Aia,0.0
2021,,,,Aia,Por 100.000 habitantes,Aia,0.0
