Year,Series,Units,Value
2013,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,18730509.76
2015,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,19384671.9
2021,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,17631879.42
2012,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,20427113.19
2018,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,19040478.44
2020,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,16478502.65
2019,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,18574722.02
2011,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,20209426.39
2014,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,18756524.65
2017,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,19695350.67
2022,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,18461387.31
2010,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,21706181.17
2016,Emisiones totales de gases de efecto invernadero por año,Toneladas de CO2 - equivalente,18688513.07
2010,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.32
2015,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.28
2018,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.25
2022,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2014,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.28
2020,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2021,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2017,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.27
2019,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2012,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.31
2013,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.28
2011,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.3
2016,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.26
2010,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,9.94
2011,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,9.23
2012,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,9.32
2013,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.56
2014,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.57
2016,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.54
2015,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.86
2017,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.98
2021,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.05
2019,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.42
2020,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,7.43
2018,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.66
2022,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.43
2010,Emisiones de gases de efecto invernadero respecto al año 1990,%,4.02
2011,Emisiones de gases de efecto invernadero respecto al año 1990,%,-3.12
2012,Emisiones de gases de efecto invernadero respecto al año 1990,%,-2.15
2013,Emisiones de gases de efecto invernadero respecto al año 1990,%,-10.31
2014,Emisiones de gases de efecto invernadero respecto al año 1990,%,-10.31
2015,Emisiones de gases de efecto invernadero respecto al año 1990,%,-7.27
2016,Emisiones de gases de efecto invernadero respecto al año 1990,%,-10.56
2017,Emisiones de gases de efecto invernadero respecto al año 1990,%,-5.72
2018,Emisiones de gases de efecto invernadero respecto al año 1990,%,-8.83
2019,Emisiones de gases de efecto invernadero respecto al año 1990,%,-10.97
2020,Emisiones de gases de efecto invernadero respecto al año 1990,%,-21.36
2021,Emisiones de gases de efecto invernadero respecto al año 1990,%,-14.83
2022,Emisiones de gases de efecto invernadero respecto al año 1990,%,-10.82
2011,Emisiones de gases de efecto invernadero respecto al año 2005,%,-20.41
2012,Emisiones de gases de efecto invernadero respecto al año 2005,%,-19.61
2020,Emisiones de gases de efecto invernadero respecto al año 2005,%,-35.4
2013,Emisiones de gases de efecto invernadero respecto al año 2005,%,-26.32
