Year,Servicios públicos,Units,Value
2023,,%,56.9
2021,,%,55.1
2018,,%,57.4
2013,,%,40.2
2020,,%,54.1
2016,,%,50.4
2014,,%,41.2
2022,,%,51.0
2025,,%,52.8
2015,,%,46.3
2011,,%,47.7
2024,,%,47.9
2019,,%,57.3
2017,,%,57.4
2012,,%,50.3
2025,Enseñanza,%,60.2
2023,Enseñanza,%,65.3
2012,Enseñanza,%,66.0
2014,Enseñanza,%,54.0
2021,Enseñanza,%,54.4
2013,Enseñanza,%,45.5
2020,Enseñanza,%,56.5
2011,Enseñanza,%,66.7
2018,Enseñanza,%,70.9
2017,Enseñanza,%,69.5
2022,Enseñanza,%,60.9
2016,Enseñanza,%,60.0
2019,Enseñanza,%,72.2
2015,Enseñanza,%,59.4
2024,Enseñanza,%,54.1
2012,Asistencia sanitaria,%,70.1
2025,Asistencia sanitaria,%,56.0
2021,Asistencia sanitaria,%,75.0
2019,Asistencia sanitaria,%,81.5
2018,Asistencia sanitaria,%,84.3
2022,Asistencia sanitaria,%,59.5
2020,Asistencia sanitaria,%,77.2
2023,Asistencia sanitaria,%,62.7
2024,Asistencia sanitaria,%,45.9
2013,Asistencia sanitaria,%,50.9
2015,Asistencia sanitaria,%,67.5
2017,Asistencia sanitaria,%,79.0
2011,Asistencia sanitaria,%,73.1
2014,Asistencia sanitaria,%,69.5
2016,Asistencia sanitaria,%,67.2
2025,Gestión de pensiones,%,50.7
2021,Gestión de pensiones,%,39.2
2014,Gestión de pensiones,%,21.3
2015,Gestión de pensiones,%,21.5
2016,Gestión de pensiones,%,23.5
2018,Gestión de pensiones,%,19.1
2019,Gestión de pensiones,%,30.9
2020,Gestión de pensiones,%,42.2
2022,Gestión de pensiones,%,37.0
2023,Gestión de pensiones,%,52.4
2024,Gestión de pensiones,%,40.0
2011,Gestión de pensiones,%,32.0
2012,Gestión de pensiones,%,36.0
2013,Gestión de pensiones,%,21.2
2017,Gestión de pensiones,%,40.2
2017,Administración de justicia,%,19.4
2025,Administración de justicia,%,17.2
2012,Administración de justicia,%,9.5
2023,Administración de justicia,%,22.4
2018,Administración de justicia,%,19.4
2022,Administración de justicia,%,20.6
2016,Administración de justicia,%,11.4
2020,Administración de justicia,%,17.5
2019,Administración de justicia,%,19.4
2021,Administración de justicia,%,16.9
2024,Administración de justicia,%,21.7
2011,Administración de justicia,%,15.0
2015,Administración de justicia,%,11.2
2014,Administración de justicia,%,12.0
2013,Administración de justicia,%,13.5
2013,Seguridad ciudadana,%,53.6
2011,Seguridad ciudadana,%,32.2
2012,Seguridad ciudadana,%,59.3
2014,Seguridad ciudadana,%,46.1
2015,Seguridad ciudadana,%,60.2
2016,Seguridad ciudadana,%,61.7
2017,Seguridad ciudadana,%,66.9
2018,Seguridad ciudadana,%,72.6
2019,Seguridad ciudadana,%,60.2
2020,Seguridad ciudadana,%,55.3
2021,Seguridad ciudadana,%,61.5
2022,Seguridad ciudadana,%,56.2
2023,Seguridad ciudadana,%,59.5
2024,Seguridad ciudadana,%,53.2
2025,Seguridad ciudadana,%,52.5
2020,Servicios sociales,%,58.3
2011,Servicios sociales,%,35.2
2013,Servicios sociales,%,32.7
2014,Servicios sociales,%,30.3
2015,Servicios sociales,%,36.4
2017,Servicios sociales,%,57.1
2018,Servicios sociales,%,60.5
2019,Servicios sociales,%,57.5
2021,Servicios sociales,%,59.6
2022,Servicios sociales,%,51.6
2023,Servicios sociales,%,62.2
2024,Servicios sociales,%,50.7
2025,Servicios sociales,%,50.9
2016,Servicios sociales,%,60.2
2012,Servicios sociales,%,47.6
2020,Transporte público,%,82.9
2021,Transporte público,%,85.2
2022,Transporte público,%,81.0
2023,Transporte público,%,81.2
2024,Transporte público,%,76.4
2025,Transporte público,%,83.5
2019,Transporte público,%,86.3
2011,Transporte público,%,78.1
2012,Transporte público,%,78.0
2013,Transporte público,%,70.2
2014,Transporte público,%,72.6
2015,Transporte público,%,83.2
2016,Transporte público,%,83.9
2017,Transporte público,%,87.9
2018,Transporte público,%,83.1
2023,Obras públicas,%,66.5
2024,Obras públicas,%,50.5
2025,Obras públicas,%,60.7
2011,Obras públicas,%,59.8
2012,Obras públicas,%,57.3
2013,Obras públicas,%,50.0
2014,Obras públicas,%,52.3
2015,Obras públicas,%,55.0
2016,Obras públicas,%,58.2
2017,Obras públicas,%,66.4
2018,Obras públicas,%,62.8
2019,Obras públicas,%,65.2
2020,Obras públicas,%,56.9
2021,Obras públicas,%,63.4
2022,Obras públicas,%,51.2
2014,Ayuda a personas dependientes,%,12.6
2024,Ayuda a personas dependientes,%,35.0
2020,Ayuda a personas dependientes,%,40.5
2025,Ayuda a personas dependientes,%,41.5
2019,Ayuda a personas dependientes,%,42.2
2016,Ayuda a personas dependientes,%,27.0
2012,Ayuda a personas dependientes,%,28.7
2011,Ayuda a personas dependientes,%,37.3
2021,Ayuda a personas dependientes,%,40.5
2015,Ayuda a personas dependientes,%,22.3
2022,Ayuda a personas dependientes,%,40.8
2013,Ayuda a personas dependientes,%,24.8
2023,Ayuda a personas dependientes,%,38.7
2018,Ayuda a personas dependientes,%,43.6
2017,Ayuda a personas dependientes,%,29.8
