Year,Series,Units,Value
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,1593.05
2024,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,252.06
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,299.72
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,-24.62
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,39.62
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,5165.0
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,1605.42
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,574.14
2023,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,-95.18
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,535.35
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,9.0
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,554.29
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,-153.5
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,602.42
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo,Millones de euros,-278.22
2010,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,2.38
2011,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,7.59
2012,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.86
2014,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,-0.04
2015,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.06
2016,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.77
2013,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,-0.42
2017,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.72
2021,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.01
2018,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.39
2019,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.75
2020,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,-0.21
2022,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,1.84
2023,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,-0.1
2024,Inversión directa neta en los países receptores de Ayuda Oficial al Desarrollo en proporción al PIB,%,0.26
