Year,Series,Actividad económica,Units,Value
2022,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.0
2018,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.2
2012,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,19.2
2011,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.6
2017,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,19.2
2021,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.1
2019,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.4
2010,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,19.6
2016,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,19.2
2015,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,19.1
2014,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,19.3
2023,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,16.1
2020,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.5
2013,Emisiones de amoníaco de la agricultura y ganadería por hectárea,,Kg por hectárea,18.6
2012,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,38.3
2021,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,35.2
2017,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,40.2
2016,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,39.4
2010,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,38.1
2011,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,36.3
2013,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,39.1
2018,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,37.0
2019,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,37.0
2015,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,38.7
2023,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,30.8
2014,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,38.9
2020,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,36.1
2022,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Agricultura,Kg por hectárea,35.0
2016,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.1
2017,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,6.9
2013,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,6.6
2021,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.3
2019,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,6.9
2018,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.1
2010,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,8.6
2022,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.3
2012,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,8.0
2020,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.5
2023,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.1
2015,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.5
2014,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,7.7
2011,Emisiones de amoníaco de la agricultura y ganadería por hectárea,Ganadería,Kg por hectárea,8.3
2012,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.2
2011,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.1
2023,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,3.6
2017,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.3
2019,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.1
2021,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.0
2010,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.3
2018,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.0
2016,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.2
2020,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.1
2022,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.0
2014,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.3
2015,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.2
2013,Emisiones de amoníaco de la agricultura y ganadería,,Kilotoneladas,4.1
2011,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.0
2010,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.1
2012,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.1
2016,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.3
2018,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.0
2023,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,2.6
2022,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.0
2021,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.0
2020,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.1
2019,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.1
2017,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.3
2015,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.2
2014,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.2
2013,Emisiones de amoníaco de la agricultura y ganadería,Agricultura,Kilotoneladas,3.2
2013,Emisiones de amoníaco de la agricultura y ganadería,Ganadería,Kilotoneladas,0.9
2012,Emisiones de amoníaco de la agricultura y ganadería,Ganadería,Kilotoneladas,1.1
2011,Emisiones de amoníaco de la agricultura y ganadería,Ganadería,Kilotoneladas,1.2
2010,Emisiones de amoníaco de la agricultura y ganadería,Ganadería,Kilotoneladas,1.2
