Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2021,,,,Porcentaje,,0.8
2011,,,,Porcentaje,,0.7
2017,,,,Porcentaje,,0.9
2019,,,,Porcentaje,,0.8
2014,,,,Porcentaje,,0.7
2010,,,,Porcentaje,,0.7
2018,,,,Porcentaje,,0.8
2012,,,,Porcentaje,,0.8
2016,,,,Porcentaje,,0.7
2022,,,,Porcentaje,,0.8
2020,,,,Porcentaje,,0.7
2013,,,,Porcentaje,,0.8
2015,,,,Porcentaje,,0.7
2023,,,,Porcentaje,,0.8
2015,,,Abadiño,Porcentaje,Abadiño,0.2
2016,,,Abadiño,Porcentaje,Abadiño,0.2
2019,,,Abadiño,Porcentaje,Abadiño,0.2
2018,,,Abadiño,Porcentaje,Abadiño,0.2
2017,,,Abadiño,Porcentaje,Abadiño,0.2
2021,,,Abadiño,Porcentaje,Abadiño,0.2
2014,,,Abadiño,Porcentaje,Abadiño,0.2
2020,,,Abadiño,Porcentaje,Abadiño,0.3
2019,,,Abaltzisketa,Porcentaje,Abaltzisketa,5.8
2016,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.9
2015,,,Abaltzisketa,Porcentaje,Abaltzisketa,8.8
2018,,,Abaltzisketa,Porcentaje,Abaltzisketa,5.1
2020,,,Abaltzisketa,Porcentaje,Abaltzisketa,5.9
2017,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.3
2014,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.0
2021,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.1
2016,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2018,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2014,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.4
2020,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2021,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2017,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2019,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2015,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2015,,,Aduna,Porcentaje,Aduna,0.7
2021,,,Aduna,Porcentaje,Aduna,0.4
2019,,,Aduna,Porcentaje,Aduna,0.5
2016,,,Aduna,Porcentaje,Aduna,0.6
2020,,,Aduna,Porcentaje,Aduna,0.3
2018,,,Aduna,Porcentaje,Aduna,0.4
2017,,,Aduna,Porcentaje,Aduna,0.6
2014,,,Aduna,Porcentaje,Aduna,0.5
2021,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.4
2014,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.6
2018,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.4
2017,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.6
2019,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.4
2015,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.4
2016,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.0
2020,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.3
2016,,,Aia,Porcentaje,Aia,4.2
2017,,,Aia,Porcentaje,Aia,4.7
2021,,,Aia,Porcentaje,Aia,4.2
2015,,,Aia,Porcentaje,Aia,4.7
2020,,,Aia,Porcentaje,Aia,4.4
2014,,,Aia,Porcentaje,Aia,4.8
2019,,,Aia,Porcentaje,Aia,4.5
2018,,,Aia,Porcentaje,Aia,3.8
2021,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.8
2014,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.8
2018,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.9
2019,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.9
2015,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.0
2020,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.1
2017,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.9
2016,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.9
2019,,,Ajangiz,Porcentaje,Ajangiz,0.9
2021,,,Ajangiz,Porcentaje,Ajangiz,0.9
2018,,,Ajangiz,Porcentaje,Ajangiz,0.7
2014,,,Ajangiz,Porcentaje,Ajangiz,0.8
2020,,,Ajangiz,Porcentaje,Ajangiz,0.9
2017,,,Ajangiz,Porcentaje,Ajangiz,0.9
2016,,,Ajangiz,Porcentaje,Ajangiz,0.9
2015,,,Ajangiz,Porcentaje,Ajangiz,0.8
2014,,,Albiztur,Porcentaje,Albiztur,4.4
2019,,,Albiztur,Porcentaje,Albiztur,3.7
2017,,,Albiztur,Porcentaje,Albiztur,4.2
2015,,,Albiztur,Porcentaje,Albiztur,3.6
2020,,,Albiztur,Porcentaje,Albiztur,3.2
2021,,,Albiztur,Porcentaje,Albiztur,3.3
2016,,,Albiztur,Porcentaje,Albiztur,3.8
2018,,,Albiztur,Porcentaje,Albiztur,2.9
2021,,,Alegia,Porcentaje,Alegia,0.6
2019,,,Alegia,Porcentaje,Alegia,0.8
2020,,,Alegia,Porcentaje,Alegia,0.6
2015,,,Alegia,Porcentaje,Alegia,0.6
2014,,,Alegia,Porcentaje,Alegia,0.7
2018,,,Alegia,Porcentaje,Alegia,0.6
2016,,,Alegia,Porcentaje,Alegia,0.7
2017,,,Alegia,Porcentaje,Alegia,0.8
2015,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.3
2017,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.7
2014,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,2.3
2018,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.6
2016,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.0
2019,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.1
2021,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,3.3
2020,,,Alegría-Dulantzi,Porcentaje,Alegría-Dulantzi,2.8
2015,,,Alkiza,Porcentaje,Alkiza,9.5
2014,,,Alkiza,Porcentaje,Alkiza,7.9
2020,,,Alkiza,Porcentaje,Alkiza,10.4
2016,,,Alkiza,Porcentaje,Alkiza,8.5
2017,,,Alkiza,Porcentaje,Alkiza,10.2
2018,,,Alkiza,Porcentaje,Alkiza,8.5
2019,,,Alkiza,Porcentaje,Alkiza,10.2
2021,,,Alkiza,Porcentaje,Alkiza,11.0
2015,,,Alonsotegi,Porcentaje,Alonsotegi,0.5
2021,,,Alonsotegi,Porcentaje,Alonsotegi,1.0
2014,,,Alonsotegi,Porcentaje,Alonsotegi,0.6
2018,,,Alonsotegi,Porcentaje,Alonsotegi,0.6
2017,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2019,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2016,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2020,,,Alonsotegi,Porcentaje,Alonsotegi,0.7
2019,,,Altzaga,Porcentaje,Altzaga,4.5
2016,,,Altzaga,Porcentaje,Altzaga,4.9
2020,,,Altzaga,Porcentaje,Altzaga,4.3
2017,,,Altzaga,Porcentaje,Altzaga,5.4
2021,,,Altzaga,Porcentaje,Altzaga,5.8
2015,,,Altzaga,Porcentaje,Altzaga,5.0
2014,,,Altzaga,Porcentaje,Altzaga,4.3
2018,,,Altzaga,Porcentaje,Altzaga,4.2
2015,,,Altzo,Porcentaje,Altzo,1.1
2018,,,Altzo,Porcentaje,Altzo,1.1
2014,,,Altzo,Porcentaje,Altzo,1.2
2016,,,Altzo,Porcentaje,Altzo,1.1
2020,,,Altzo,Porcentaje,Altzo,0.9
2021,,,Altzo,Porcentaje,Altzo,1.1
2017,,,Altzo,Porcentaje,Altzo,1.7
2019,,,Altzo,Porcentaje,Altzo,1.1
2014,,,Amezketa,Porcentaje,Amezketa,1.7
2017,,,Amezketa,Porcentaje,Amezketa,1.9
