Year,Series,Tipo de alimento,Territorio histórico,Units,Value
2022,Indicador de anomalías en los precios de los alimentos,,,Índice,2.6
2009,Indicador de anomalías en los precios de los alimentos,,,Índice,-1.0
2008,Indicador de anomalías en los precios de los alimentos,,,Índice,0.6
2021,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.3
2004,Indicador de anomalías en los precios de los alimentos,,,Índice,0.3
2014,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.9
2019,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.5
2017,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.4
2006,Indicador de anomalías en los precios de los alimentos,,,Índice,0.2
2011,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.3
2023,Indicador de anomalías en los precios de los alimentos,,,Índice,1.9
2003,Indicador de anomalías en los precios de los alimentos,,,Índice,0.4
2010,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.9
2020,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.2
2012,Indicador de anomalías en los precios de los alimentos,,,Índice,0.0
2016,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.5
2005,Indicador de anomalías en los precios de los alimentos,,,Índice,0.1
2007,Indicador de anomalías en los precios de los alimentos,,,Índice,0.5
2015,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.4
2018,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.5
2024,Indicador de anomalías en los precios de los alimentos,,,Índice,0.2
2013,Indicador de anomalías en los precios de los alimentos,,,Índice,-0.2
2006,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,0.5
2018,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.5
2005,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,0.3
2014,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-1.0
2008,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,0.8
2017,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.5
2022,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,2.3
2020,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.2
2007,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,0.8
2012,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.2
2004,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,0.5
2010,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.8
2011,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.3
2023,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,1.8
2016,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.6
2015,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.4
2009,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-1.0
2024,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.1
2013,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.2
2003,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,0.4
2019,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.5
2021,Indicador de anomalías en los precios de los alimentos,,Araba/Álava,Índice,-0.2
2007,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.3
2023,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,1.9
2003,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.3
2022,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,2.6
2016,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.4
2018,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.6
2011,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.2
2019,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.5
2017,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.4
2021,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.3
2015,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.4
2005,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.1
2010,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.9
2008,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.5
2014,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.9
2004,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.3
2009,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-1.0
2013,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.2
2020,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,-0.1
2024,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.3
2006,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.2
2012,Indicador de anomalías en los precios de los alimentos,,Bizkaia,Índice,0.0
2015,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.3
2017,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.5
2003,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.4
2010,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-1.0
2020,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.3
2019,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.5
2024,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.1
2018,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.4
2023,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,1.9
2004,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.3
2016,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.5
2011,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.4
2013,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.2
2009,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-1.0
2022,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,2.6
2012,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.0
2021,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.3
2008,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.7
2007,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.5
2005,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.1
2006,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,0.2
2014,Indicador de anomalías en los precios de los alimentos,,Gipuzkoa,Índice,-0.9
2012,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.3
2004,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,1.0
2020,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.3
2008,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.9
2003,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.8
2010,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.6
2024,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.0
2014,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.8
2016,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.9
2009,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.6
2005,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.6
2018,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.3
2015,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.7
2013,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.6
2019,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.1
2006,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.3
2022,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,2.0
2023,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,0.6
2021,Indicador de anomalías en los precios de los alimentos,Pan,,Índice,-0.9
