Year,Territorio histórico,Units,Value
2019,,Porcentaje,99.93
2022,,Porcentaje,99.92
2021,,Porcentaje,99.94
2018,,Porcentaje,99.94
2023,,Porcentaje,99.91
2017,,Porcentaje,99.94
2015,,Porcentaje,99.88
2012,,Porcentaje,99.96
2016,,Porcentaje,99.94
2011,,Porcentaje,99.92
2014,,Porcentaje,99.93
2013,,Porcentaje,99.96
2010,,Porcentaje,99.97
2020,,Porcentaje,99.97
2012,Araba/Álava,Porcentaje,99.94
2013,Araba/Álava,Porcentaje,99.93
2014,Araba/Álava,Porcentaje,99.84
2010,Araba/Álava,Porcentaje,100.0
2018,Araba/Álava,Porcentaje,99.85
2017,Araba/Álava,Porcentaje,99.9
2011,Araba/Álava,Porcentaje,99.82
2020,Araba/Álava,Porcentaje,99.92
2021,Araba/Álava,Porcentaje,99.91
2015,Araba/Álava,Porcentaje,99.81
2019,Araba/Álava,Porcentaje,99.92
2022,Araba/Álava,Porcentaje,99.96
2016,Araba/Álava,Porcentaje,99.83
2023,Araba/Álava,Porcentaje,99.91
2013,Bizkaia,Porcentaje,99.97
2015,Bizkaia,Porcentaje,99.9
2016,Bizkaia,Porcentaje,99.97
2017,Bizkaia,Porcentaje,99.96
2019,Bizkaia,Porcentaje,99.9
2020,Bizkaia,Porcentaje,99.96
2021,Bizkaia,Porcentaje,99.96
2023,Bizkaia,Porcentaje,99.91
2010,Bizkaia,Porcentaje,99.96
2011,Bizkaia,Porcentaje,99.95
2012,Bizkaia,Porcentaje,99.96
2022,Bizkaia,Porcentaje,99.88
2018,Bizkaia,Porcentaje,99.94
2014,Bizkaia,Porcentaje,99.96
2022,Gipuzkoa,Porcentaje,99.95
2023,Gipuzkoa,Porcentaje,99.91
2010,Gipuzkoa,Porcentaje,99.96
2011,Gipuzkoa,Porcentaje,99.93
2012,Gipuzkoa,Porcentaje,99.96
2013,Gipuzkoa,Porcentaje,99.97
2014,Gipuzkoa,Porcentaje,99.94
2015,Gipuzkoa,Porcentaje,99.87
2016,Gipuzkoa,Porcentaje,99.97
2017,Gipuzkoa,Porcentaje,99.93
2018,Gipuzkoa,Porcentaje,99.98
2019,Gipuzkoa,Porcentaje,99.98
2020,Gipuzkoa,Porcentaje,100.0
2021,Gipuzkoa,Porcentaje,99.92
