Year,Sexo,Territorio histórico,Units,Value
2019,,,Por 1.000 nacidos vivos,3.57
2021,,,Por 1.000 nacidos vivos,2.95
2023,,,Por 1.000 nacidos vivos,3.12
2020,,,Por 1.000 nacidos vivos,3.05
2022,,,Por 1.000 nacidos vivos,3.59
2010,,,Por 1.000 nacidos vivos,3.5
2016,,,Por 1.000 nacidos vivos,3.18
2013,,,Por 1.000 nacidos vivos,2.77
2014,,,Por 1.000 nacidos vivos,2.89
2017,,,Por 1.000 nacidos vivos,2.75
2015,,,Por 1.000 nacidos vivos,3.45
2011,,,Por 1.000 nacidos vivos,3.35
2012,,,Por 1.000 nacidos vivos,3.17
2018,,,Por 1.000 nacidos vivos,3.6
2010,,Araba/Álava,Por 1.000 nacidos vivos,2.99
2017,,Araba/Álava,Por 1.000 nacidos vivos,3.04
2019,,Araba/Álava,Por 1.000 nacidos vivos,2.34
2013,,Araba/Álava,Por 1.000 nacidos vivos,3.23
2012,,Araba/Álava,Por 1.000 nacidos vivos,3.34
2016,,Araba/Álava,Por 1.000 nacidos vivos,3.25
2023,,Araba/Álava,Por 1.000 nacidos vivos,4.96
2011,,Araba/Álava,Por 1.000 nacidos vivos,3.79
2018,,Araba/Álava,Por 1.000 nacidos vivos,4.47
2022,,Araba/Álava,Por 1.000 nacidos vivos,4.41
2014,,Araba/Álava,Por 1.000 nacidos vivos,3.05
2015,,Araba/Álava,Por 1.000 nacidos vivos,2.53
2020,,Araba/Álava,Por 1.000 nacidos vivos,3.34
2021,,Araba/Álava,Por 1.000 nacidos vivos,3.8
2011,,Bizkaia,Por 1.000 nacidos vivos,3.74
2012,,Bizkaia,Por 1.000 nacidos vivos,3.19
2013,,Bizkaia,Por 1.000 nacidos vivos,2.47
2016,,Bizkaia,Por 1.000 nacidos vivos,3.39
2022,,Bizkaia,Por 1.000 nacidos vivos,3.35
2019,,Bizkaia,Por 1.000 nacidos vivos,3.89
2014,,Bizkaia,Por 1.000 nacidos vivos,2.57
2023,,Bizkaia,Por 1.000 nacidos vivos,3.45
2020,,Bizkaia,Por 1.000 nacidos vivos,3.01
2018,,Bizkaia,Por 1.000 nacidos vivos,3.65
2010,,Bizkaia,Por 1.000 nacidos vivos,4.15
2015,,Bizkaia,Por 1.000 nacidos vivos,4.39
2021,,Bizkaia,Por 1.000 nacidos vivos,2.73
2017,,Bizkaia,Por 1.000 nacidos vivos,2.82
2017,,Gipuzkoa,Por 1.000 nacidos vivos,2.5
2018,,Gipuzkoa,Por 1.000 nacidos vivos,3.11
2022,,Gipuzkoa,Por 1.000 nacidos vivos,3.55
2013,,Gipuzkoa,Por 1.000 nacidos vivos,3.02
2021,,Gipuzkoa,Por 1.000 nacidos vivos,2.84
2010,,Gipuzkoa,Por 1.000 nacidos vivos,2.77
2019,,Gipuzkoa,Por 1.000 nacidos vivos,3.7
2015,,Gipuzkoa,Por 1.000 nacidos vivos,2.52
2016,,Gipuzkoa,Por 1.000 nacidos vivos,2.66
2011,,Gipuzkoa,Por 1.000 nacidos vivos,2.55
2012,,Gipuzkoa,Por 1.000 nacidos vivos,3.04
2020,,Gipuzkoa,Por 1.000 nacidos vivos,2.99
2023,,Gipuzkoa,Por 1.000 nacidos vivos,1.75
2014,,Gipuzkoa,Por 1.000 nacidos vivos,3.3
2016,Mujer,,Por 1.000 nacidos vivos,2.8
2015,Mujer,,Por 1.000 nacidos vivos,3.4
2013,Mujer,,Por 1.000 nacidos vivos,2.58
2012,Mujer,,Por 1.000 nacidos vivos,3.57
2014,Mujer,,Por 1.000 nacidos vivos,2.84
2022,Mujer,,Por 1.000 nacidos vivos,2.42
2021,Mujer,,Por 1.000 nacidos vivos,2.77
2019,Mujer,,Por 1.000 nacidos vivos,3.33
2017,Mujer,,Por 1.000 nacidos vivos,2.18
2010,Mujer,,Por 1.000 nacidos vivos,3.77
2020,Mujer,,Por 1.000 nacidos vivos,2.82
2018,Mujer,,Por 1.000 nacidos vivos,3.7
2023,Mujer,,Por 1.000 nacidos vivos,3.05
2011,Mujer,,Por 1.000 nacidos vivos,4.23
2022,Mujer,Araba/Álava,Por 1.000 nacidos vivos,1.83
2018,Mujer,Araba/Álava,Por 1.000 nacidos vivos,3.08
2020,Mujer,Araba/Álava,Por 1.000 nacidos vivos,1.72
2010,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.49
2021,Mujer,Araba/Álava,Por 1.000 nacidos vivos,3.53
2019,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.39
2017,Mujer,Araba/Álava,Por 1.000 nacidos vivos,2.73
