Year,Territorio histórico,Sexo,Units,Value
2023,,,Por 1.000 nacidos vivos,1.8
2017,,,Por 1.000 nacidos vivos,1.4
2020,,,Por 1.000 nacidos vivos,1.8
2024,,,Por 1.000 nacidos vivos,1.2
2019,,,Por 1.000 nacidos vivos,2.1
2014,,,Por 1.000 nacidos vivos,1.5
2013,,,Por 1.000 nacidos vivos,1.5
2011,,,Por 1.000 nacidos vivos,1.7
2010,,,Por 1.000 nacidos vivos,1.7
2022,,,Por 1.000 nacidos vivos,2.2
2016,,,Por 1.000 nacidos vivos,1.4
2021,,,Por 1.000 nacidos vivos,1.5
2018,,,Por 1.000 nacidos vivos,2.2
2012,,,Por 1.000 nacidos vivos,1.7
2015,,,Por 1.000 nacidos vivos,1.7
2010,Araba/Álava,,Por 1.000 nacidos vivos,1.5
2019,Araba/Álava,,Por 1.000 nacidos vivos,1.6
2017,Araba/Álava,,Por 1.000 nacidos vivos,1.0
2022,Araba/Álava,,Por 1.000 nacidos vivos,3.1
2023,Araba/Álava,,Por 1.000 nacidos vivos,3.6
2015,Araba/Álava,,Por 1.000 nacidos vivos,0.9
2011,Araba/Álava,,Por 1.000 nacidos vivos,2.0
2021,Araba/Álava,,Por 1.000 nacidos vivos,3.0
2018,Araba/Álava,,Por 1.000 nacidos vivos,1.5
2020,Araba/Álava,,Por 1.000 nacidos vivos,1.3
2024,Araba/Álava,,Por 1.000 nacidos vivos,2.9
2016,Araba/Álava,,Por 1.000 nacidos vivos,1.6
2012,Araba/Álava,,Por 1.000 nacidos vivos,2.4
2013,Araba/Álava,,Por 1.000 nacidos vivos,1.3
2014,Araba/Álava,,Por 1.000 nacidos vivos,1.8
2019,Bizkaia,,Por 1.000 nacidos vivos,2.6
2020,Bizkaia,,Por 1.000 nacidos vivos,1.8
2015,Bizkaia,,Por 1.000 nacidos vivos,2.1
2011,Bizkaia,,Por 1.000 nacidos vivos,2.1
2012,Bizkaia,,Por 1.000 nacidos vivos,1.7
2016,Bizkaia,,Por 1.000 nacidos vivos,1.6
2018,Bizkaia,,Por 1.000 nacidos vivos,2.6
2010,Bizkaia,,Por 1.000 nacidos vivos,2.4
2014,Bizkaia,,Por 1.000 nacidos vivos,1.3
2021,Bizkaia,,Por 1.000 nacidos vivos,1.1
2013,Bizkaia,,Por 1.000 nacidos vivos,1.0
2023,Bizkaia,,Por 1.000 nacidos vivos,1.6
2022,Bizkaia,,Por 1.000 nacidos vivos,2.2
2017,Bizkaia,,Por 1.000 nacidos vivos,1.9
2024,Bizkaia,,Por 1.000 nacidos vivos,0.8
2018,Gipuzkoa,,Por 1.000 nacidos vivos,1.8
2015,Gipuzkoa,,Por 1.000 nacidos vivos,1.4
2013,Gipuzkoa,,Por 1.000 nacidos vivos,2.2
2021,Gipuzkoa,,Por 1.000 nacidos vivos,1.4
2017,Gipuzkoa,,Por 1.000 nacidos vivos,0.9
2016,Gipuzkoa,,Por 1.000 nacidos vivos,1.0
2024,Gipuzkoa,,Por 1.000 nacidos vivos,1.1
2012,Gipuzkoa,,Por 1.000 nacidos vivos,1.3
2023,Gipuzkoa,,Por 1.000 nacidos vivos,1.1
2011,Gipuzkoa,,Por 1.000 nacidos vivos,1.0
2020,Gipuzkoa,,Por 1.000 nacidos vivos,2.0
2010,Gipuzkoa,,Por 1.000 nacidos vivos,1.0
2019,Gipuzkoa,,Por 1.000 nacidos vivos,1.6
2014,Gipuzkoa,,Por 1.000 nacidos vivos,1.6
2022,Gipuzkoa,,Por 1.000 nacidos vivos,1.8
2010,,Mujer,Por 1.000 nacidos vivos,1.7
2023,,Mujer,Por 1.000 nacidos vivos,1.7
2012,,Mujer,Por 1.000 nacidos vivos,1.8
2021,,Mujer,Por 1.000 nacidos vivos,1.3
2014,,Mujer,Por 1.000 nacidos vivos,1.3
2016,,Mujer,Por 1.000 nacidos vivos,1.2
2018,,Mujer,Por 1.000 nacidos vivos,2.3
2024,,Mujer,Por 1.000 nacidos vivos,0.9
2015,,Mujer,Por 1.000 nacidos vivos,1.8
2011,,Mujer,Por 1.000 nacidos vivos,2.6
2020,,Mujer,Por 1.000 nacidos vivos,2.1
2019,,Mujer,Por 1.000 nacidos vivos,2.0
2017,,Mujer,Por 1.000 nacidos vivos,1.3
2013,,Mujer,Por 1.000 nacidos vivos,1.0
2022,,Mujer,Por 1.000 nacidos vivos,1.7
2015,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.7
2023,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.9
