Year,Series,Sexo,Units,Value
2013,Cáncer colorrectal,,%,69.7
2018,Cáncer colorrectal,,%,72.5
2015,Cáncer colorrectal,,%,70.3
2016,Cáncer colorrectal,,%,72.4
2023,Cáncer colorrectal,,%,69.7
2012,Cáncer colorrectal,,%,67.7
2019,Cáncer colorrectal,,%,71.2
2014,Cáncer colorrectal,,%,70.7
2017,Cáncer colorrectal,,%,72.3
2020,Cáncer colorrectal,,%,70.9
2024,Cáncer colorrectal,,%,71.0
2022,Cáncer colorrectal,,%,70.5
2025,Cáncer colorrectal,,%,71.7
2021,Cáncer colorrectal,,%,72.0
2025,Cáncer colorrectal,Mujer,%,73.8
2017,Cáncer colorrectal,Mujer,%,74.6
2020,Cáncer colorrectal,Mujer,%,73.5
2016,Cáncer colorrectal,Mujer,%,74.6
2015,Cáncer colorrectal,Mujer,%,72.6
2019,Cáncer colorrectal,Mujer,%,73.7
2021,Cáncer colorrectal,Mujer,%,74.4
2013,Cáncer colorrectal,Mujer,%,72.1
2012,Cáncer colorrectal,Mujer,%,70.3
2024,Cáncer colorrectal,Mujer,%,73.6
2018,Cáncer colorrectal,Mujer,%,74.9
2023,Cáncer colorrectal,Mujer,%,72.2
2014,Cáncer colorrectal,Mujer,%,73.0
2022,Cáncer colorrectal,Mujer,%,73.0
2025,Cáncer colorrectal,Hombre,%,69.5
2017,Cáncer colorrectal,Hombre,%,70.0
2019,Cáncer colorrectal,Hombre,%,68.4
2022,Cáncer colorrectal,Hombre,%,67.8
2016,Cáncer colorrectal,Hombre,%,70.0
2023,Cáncer colorrectal,Hombre,%,67.1
2024,Cáncer colorrectal,Hombre,%,68.3
2015,Cáncer colorrectal,Hombre,%,67.9
2013,Cáncer colorrectal,Hombre,%,67.1
2014,Cáncer colorrectal,Hombre,%,68.2
2021,Cáncer colorrectal,Hombre,%,69.4
2020,Cáncer colorrectal,Hombre,%,68.2
2012,Cáncer colorrectal,Hombre,%,64.9
2018,Cáncer colorrectal,Hombre,%,70.0
2017,Cáncer de mama,Mujer,%,76.4
2023,Cáncer de mama,Mujer,%,79.3
2021,Cáncer de mama,Mujer,%,76.5
2014,Cáncer de mama,Mujer,%,79.8
2015,Cáncer de mama,Mujer,%,80.8
2013,Cáncer de mama,Mujer,%,80.3
2012,Cáncer de mama,Mujer,%,81.8
2024,Cáncer de mama,Mujer,%,79.4
2020,Cáncer de mama,Mujer,%,74.3
2016,Cáncer de mama,Mujer,%,79.4
2018,Cáncer de mama,Mujer,%,76.8
2022,Cáncer de mama,Mujer,%,72.8
2019,Cáncer de mama,Mujer,%,76.4
