Year,Edad,Territorio histórico,Units,Value
2025,,,Por 1.000 habitantes,1.53
2010,,,Por 1.000 habitantes,3.2
2011,,,Por 1.000 habitantes,2.91
2020,,,Por 1.000 habitantes,1.64
2013,,,Por 1.000 habitantes,2.76
2016,,,Por 1.000 habitantes,2.29
2017,,,Por 1.000 habitantes,2.14
2023,,,Por 1.000 habitantes,1.58
2014,,,Por 1.000 habitantes,2.73
2012,,,Por 1.000 habitantes,2.94
2024,,,Por 1.000 habitantes,1.32
2018,,,Por 1.000 habitantes,1.79
2022,,,Por 1.000 habitantes,1.58
2021,,,Por 1.000 habitantes,1.55
2019,,,Por 1.000 habitantes,1.94
2015,,,Por 1.000 habitantes,2.39
2010,,Araba/Álava,Por 1.000 habitantes,4.23
2013,,Araba/Álava,Por 1.000 habitantes,3.07
2018,,Araba/Álava,Por 1.000 habitantes,2.5
2024,,Araba/Álava,Por 1.000 habitantes,1.6
2012,,Araba/Álava,Por 1.000 habitantes,3.65
2011,,Araba/Álava,Por 1.000 habitantes,4.24
2020,,Araba/Álava,Por 1.000 habitantes,1.73
2021,,Araba/Álava,Por 1.000 habitantes,1.32
2022,,Araba/Álava,Por 1.000 habitantes,1.84
2017,,Araba/Álava,Por 1.000 habitantes,3.2
2025,,Araba/Álava,Por 1.000 habitantes,1.59
2019,,Araba/Álava,Por 1.000 habitantes,2.5
2016,,Araba/Álava,Por 1.000 habitantes,3.21
2023,,Araba/Álava,Por 1.000 habitantes,1.62
2014,,Araba/Álava,Por 1.000 habitantes,3.16
2015,,Araba/Álava,Por 1.000 habitantes,3.44
2025,,Bizkaia,Por 1.000 habitantes,1.78
2011,,Bizkaia,Por 1.000 habitantes,3.07
2016,,Bizkaia,Por 1.000 habitantes,2.29
2015,,Bizkaia,Por 1.000 habitantes,2.6
2018,,Bizkaia,Por 1.000 habitantes,1.78
2022,,Bizkaia,Por 1.000 habitantes,1.74
2024,,Bizkaia,Por 1.000 habitantes,1.35
2012,,Bizkaia,Por 1.000 habitantes,3.45
2019,,Bizkaia,Por 1.000 habitantes,2.21
2020,,Bizkaia,Por 1.000 habitantes,1.98
2013,,Bizkaia,Por 1.000 habitantes,3.18
2014,,Bizkaia,Por 1.000 habitantes,3.22
2023,,Bizkaia,Por 1.000 habitantes,1.81
2010,,Bizkaia,Por 1.000 habitantes,3.42
2017,,Bizkaia,Por 1.000 habitantes,2.2
2021,,Bizkaia,Por 1.000 habitantes,1.94
2023,,Gipuzkoa,Por 1.000 habitantes,1.22
2024,,Gipuzkoa,Por 1.000 habitantes,1.14
2015,,Gipuzkoa,Por 1.000 habitantes,1.64
2016,,Gipuzkoa,Por 1.000 habitantes,1.91
2012,,Gipuzkoa,Por 1.000 habitantes,1.87
2019,,Gipuzkoa,Por 1.000 habitantes,1.32
2011,,Gipuzkoa,Por 1.000 habitantes,2.09
2017,,Gipuzkoa,Por 1.000 habitantes,1.59
2014,,Gipuzkoa,Por 1.000 habitantes,1.85
2013,,Gipuzkoa,Por 1.000 habitantes,2.0
2010,,Gipuzkoa,Por 1.000 habitantes,2.41
2025,,Gipuzkoa,Por 1.000 habitantes,1.14
2018,,Gipuzkoa,Por 1.000 habitantes,1.49
2020,,Gipuzkoa,Por 1.000 habitantes,1.1
2021,,Gipuzkoa,Por 1.000 habitantes,1.08
2022,,Gipuzkoa,Por 1.000 habitantes,1.24
2016,10-14 años,,Por 1.000 habitantes,0.04
2014,10-14 años,,Por 1.000 habitantes,0.04
2015,10-14 años,,Por 1.000 habitantes,0.04
2018,10-14 años,,Por 1.000 habitantes,0.06
2022,10-14 años,,Por 1.000 habitantes,0.06
2011,10-14 años,,Por 1.000 habitantes,0.05
2017,10-14 años,,Por 1.000 habitantes,0.06
2025,10-14 años,,Por 1.000 habitantes,0.04
2013,10-14 años,,Por 1.000 habitantes,0.09
2020,10-14 años,,Por 1.000 habitantes,0.04
2023,10-14 años,,Por 1.000 habitantes,0.02
2021,10-14 años,,Por 1.000 habitantes,0.09
2012,10-14 años,,Por 1.000 habitantes,0.13
2024,10-14 años,,Por 1.000 habitantes,0.04
2019,10-14 años,,Por 1.000 habitantes,0.04
2010,10-14 años,,Por 1.000 habitantes,0.07
2020,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2015,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2014,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2019,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2016,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2011,10-14 años,Araba/Álava,Por 1.000 habitantes,0.15
2018,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2013,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2025,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2010,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2022,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2017,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2023,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2024,10-14 años,Araba/Álava,Por 1.000 habitantes,0.0
2021,10-14 años,Araba/Álava,Por 1.000 habitantes,0.12
2012,10-14 años,Araba/Álava,Por 1.000 habitantes,0.15
2018,10-14 años,Bizkaia,Por 1.000 habitantes,0.12
2025,10-14 años,Bizkaia,Por 1.000 habitantes,0.04
2024,10-14 años,Bizkaia,Por 1.000 habitantes,0.04
2023,10-14 años,Bizkaia,Por 1.000 habitantes,0.04
2022,10-14 años,Bizkaia,Por 1.000 habitantes,0.11
2020,10-14 años,Bizkaia,Por 1.000 habitantes,0.08
2019,10-14 años,Bizkaia,Por 1.000 habitantes,0.08
2017,10-14 años,Bizkaia,Por 1.000 habitantes,0.04
2016,10-14 años,Bizkaia,Por 1.000 habitantes,0.0
2015,10-14 años,Bizkaia,Por 1.000 habitantes,0.08
2014,10-14 años,Bizkaia,Por 1.000 habitantes,0.08
2013,10-14 años,Bizkaia,Por 1.000 habitantes,0.13
2012,10-14 años,Bizkaia,Por 1.000 habitantes,0.22
2011,10-14 años,Bizkaia,Por 1.000 habitantes,0.05
2021,10-14 años,Bizkaia,Por 1.000 habitantes,0.15
2010,10-14 años,Bizkaia,Por 1.000 habitantes,0.0
2017,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.11
2019,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2016,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.12
2015,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2014,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2013,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.06
2012,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2011,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2010,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.21
2025,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.06
2024,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.06
2023,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2022,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2021,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2018,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2020,10-14 años,Gipuzkoa,Por 1.000 habitantes,0.0
2018,15-19 años,,Por 1.000 habitantes,3.66
2016,15-19 años,,Por 1.000 habitantes,4.79
2013,15-19 años,,Por 1.000 habitantes,5.69
2014,15-19 años,,Por 1.000 habitantes,5.73
2021,15-19 años,,Por 1.000 habitantes,3.05
2015,15-19 años,,Por 1.000 habitantes,5.0
2024,15-19 años,,Por 1.000 habitantes,2.57
2017,15-19 años,,Por 1.000 habitantes,4.43
2019,15-19 años,,Por 1.000 habitantes,3.97
2022,15-19 años,,Por 1.000 habitantes,3.13
