Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2023,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,72.1
2020,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,66.9
2015,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,60.0
2014,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,59.3
2012,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,57.0
2016,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,61.1
2011,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,55.8
2019,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,65.4
2013,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,58.1
2010,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,54.5
2021,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,68.7
2022,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,70.6
2018,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,63.6
2017,Densidad y distribución del personal sanitario,Médico/a,,,Por 10.000 habitantes,62.2
2022,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,63.9
2016,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,58.8
2019,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,60.7
2014,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,57.9
2015,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,58.0
2012,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,55.1
2018,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,59.7
2010,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,51.9
2011,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,54.0
2013,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,56.5
2017,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,59.4
2020,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,61.3
2021,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,62.7
2023,Densidad y distribución del personal sanitario,Médico/a,,Araba/Álava,Por 10.000 habitantes,65.1
2013,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,61.2
2019,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,70.4
2016,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,64.9
2010,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,57.2
2011,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,58.6
2015,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,63.4
2018,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,68.2
2023,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,78.4
2022,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,76.2
2012,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,59.9
2017,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,66.2
2021,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,74.1
2014,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,62.4
2020,Densidad y distribución del personal sanitario,Médico/a,,Bizkaia,Por 10.000 habitantes,72.2
2010,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,51.1
2012,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,53.0
2018,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,58.1
