Year,Series,Nivel educativo,Units,Value
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,95.5
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,94.9
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,99.4
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,94.7
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,98.1
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,97.0
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,95.2
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,Porcentaje,96.0
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,79.1
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,80.9
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,82.7
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,81.5
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,82.9
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,79.4
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,77.9
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,Porcentaje,84.7
