Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2022,Tasa de participación en actividades educativas en los últimos 12 meses,,18-64 años,,%,52.9
2016,Tasa de participación en actividades educativas en los últimos 12 meses,,18-64 años,,%,48.1
2011,Tasa de participación en actividades educativas en los últimos 12 meses,,18-64 años,,%,46.2
2011,Tasa de participación en actividades educativas en los últimos 12 meses,Mujer,18-64 años,,%,49.9
2022,Tasa de participación en actividades educativas en los últimos 12 meses,Mujer,18-64 años,,%,54.8
2016,Tasa de participación en actividades educativas en los últimos 12 meses,Mujer,18-64 años,,%,48.0
2022,Tasa de participación en actividades educativas en los últimos 12 meses,Hombre,18-64 años,,%,51.0
2011,Tasa de participación en actividades educativas en los últimos 12 meses,Hombre,18-64 años,,%,42.5
2016,Tasa de participación en actividades educativas en los últimos 12 meses,Hombre,18-64 años,,%,48.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,81.3
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,81.1
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,75.3
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,80.6
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,79.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,79.3
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,79.2
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,71.9
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,79.1
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,81.3
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,72.2
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,75.7
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,80.0
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,80.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,,%,83.0
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,71.7
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,80.9
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,68.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,79.3
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,69.2
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,81.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,78.1
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,80.8
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,79.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,76.2
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,76.6
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,76.5
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,81.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,76.9
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Araba/Álava,%,80.2
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,82.2
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,76.7
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,79.5
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,82.2
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,79.7
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,81.7
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,80.0
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,72.8
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,84.6
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,80.3
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,77.7
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,81.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,81.4
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,81.5
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Bizkaia,%,71.3
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,80.3
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,74.5
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,73.1
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,81.2
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,78.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,80.1
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,80.5
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,76.8
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,74.2
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,80.2
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,79.3
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,77.9
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,72.6
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,79.8
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-24 años,Gipuzkoa,%,81.7
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,23.0
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,24.0
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,12.3
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,11.8
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,24.9
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,21.9
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,20.8
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,24.4
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,20.4
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,22.9
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,20.7
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,11.8
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,18.4
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,18.2
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,,%,17.9
2010,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,11.3
2023,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,23.3
2016,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,25.0
2011,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,10.7
2020,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,20.6
2019,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,20.1
2012,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,11.1
2021,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,23.2
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,24.0
2022,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,22.6
2024,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,25.6
2013,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,19.3
2015,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,24.8
2017,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,18.6
2018,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Araba/Álava,%,18.7
2014,Tasa de participación en la enseñanza y formación académica y no académica en las últimas 4 semanas,,15-64 años,Bizkaia,%,19.8
