Year,Habilidad informática,Edad,Sexo,Territorio histórico,Units,Value
2022,,,,,%,68.8
2021,,,,,%,75.0
2019,,,,,%,67.0
2020,,,,,%,69.8
2023,,,,,%,71.5
2024,,,,,%,69.8
2019,,,,Araba/Álava,%,68.5
2024,,,,Araba/Álava,%,69.6
2020,,,,Araba/Álava,%,70.1
2021,,,,Araba/Álava,%,75.4
2023,,,,Araba/Álava,%,71.3
2022,,,,Araba/Álava,%,68.3
2020,,,,Bizkaia,%,69.5
2019,,,,Bizkaia,%,67.7
2023,,,,Bizkaia,%,71.3
2024,,,,Bizkaia,%,70.8
2021,,,,Bizkaia,%,74.6
2022,,,,Bizkaia,%,68.5
2019,,,,Gipuzkoa,%,65.2
2023,,,,Gipuzkoa,%,72.0
2024,,,,Gipuzkoa,%,68.4
2021,,,,Gipuzkoa,%,75.4
2020,,,,Gipuzkoa,%,70.2
2022,,,,Gipuzkoa,%,69.4
2019,,,Mujer,,%,64.5
2022,,,Mujer,,%,68.2
2020,,,Mujer,,%,68.3
2024,,,Mujer,,%,68.4
2021,,,Mujer,,%,73.8
2023,,,Mujer,,%,70.5
2023,,,Mujer,Araba/Álava,%,72.8
2019,,,Mujer,Araba/Álava,%,66.1
2021,,,Mujer,Araba/Álava,%,74.4
2022,,,Mujer,Araba/Álava,%,67.8
2024,,,Mujer,Araba/Álava,%,67.0
2020,,,Mujer,Araba/Álava,%,70.8
2022,,,Mujer,Bizkaia,%,67.3
2023,,,Mujer,Bizkaia,%,69.6
2024,,,Mujer,Bizkaia,%,69.1
2021,,,Mujer,Bizkaia,%,72.8
2019,,,Mujer,Bizkaia,%,64.6
2020,,,Mujer,Bizkaia,%,67.7
2021,,,Mujer,Gipuzkoa,%,75.0
2020,,,Mujer,Gipuzkoa,%,68.1
2024,,,Mujer,Gipuzkoa,%,67.8
2019,,,Mujer,Gipuzkoa,%,63.6
2023,,,Mujer,Gipuzkoa,%,70.9
2022,,,Mujer,Gipuzkoa,%,70.0
2023,,,Hombre,,%,72.5
2024,,,Hombre,,%,71.4
2019,,,Hombre,,%,69.7
2021,,,Hombre,,%,76.2
2022,,,Hombre,,%,69.4
2020,,,Hombre,,%,71.4
2023,,,Hombre,Araba/Álava,%,69.8
2021,,,Hombre,Araba/Álava,%,76.4
2024,,,Hombre,Araba/Álava,%,72.3
2020,,,Hombre,Araba/Álava,%,69.5
2019,,,Hombre,Araba/Álava,%,71.0
2022,,,Hombre,Araba/Álava,%,68.9
2023,,,Hombre,Bizkaia,%,73.0
2022,,,Hombre,Bizkaia,%,69.9
2024,,,Hombre,Bizkaia,%,72.6
2019,,,Hombre,Bizkaia,%,71.0
2020,,,Hombre,Bizkaia,%,71.4
2021,,,Hombre,Bizkaia,%,76.5
2023,,,Hombre,Gipuzkoa,%,73.0
2020,,,Hombre,Gipuzkoa,%,72.3
2021,,,Hombre,Gipuzkoa,%,75.8
2024,,,Hombre,Gipuzkoa,%,69.0
2022,,,Hombre,Gipuzkoa,%,68.8
2019,,,Hombre,Gipuzkoa,%,66.9
2022,,16-24 años,,,%,95.5
2024,,16-24 años,,,%,93.9
2020,,16-24 años,,,%,95.9
