Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2022,,,,Por 10.000,,4.6
2019,,,,Por 10.000,,3.8
2023,,,,Por 10.000,,5.7
2021,,,,Por 10.000,,4.0
2020,,,,Por 10.000,,3.1
2020,,,Abadiño,Por 10.000,Abadiño,0.0
2021,,,Abadiño,Por 10.000,Abadiño,5.2
2022,,,Abadiño,Por 10.000,Abadiño,2.6
2023,,,Abadiño,Por 10.000,Abadiño,5.1
2019,,,Abadiño,Por 10.000,Abadiño,5.2
2019,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2020,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2023,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2022,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2021,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2020,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,0.0
2021,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,0.0
2019,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,2.1
2022,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,0.0
2023,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,53.2
2020,,,Aduna,Por 10.000,Aduna,0.0
2023,,,Aduna,Por 10.000,Aduna,0.0
2022,,,Aduna,Por 10.000,Aduna,0.0
2019,,,Aduna,Por 10.000,Aduna,0.0
2021,,,Aduna,Por 10.000,Aduna,0.0
2019,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,0.0
2021,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,3.9
2020,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,0.0
2023,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,11.6
2022,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,3.9
2020,,,Aia,Por 10.000,Aia,10.5
2022,,,Aia,Por 10.000,Aia,20.0
2019,,,Aia,Por 10.000,Aia,0.0
2023,,,Aia,Por 10.000,Aia,0.0
2021,,,Aia,Por 10.000,Aia,0.0
2023,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2020,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2021,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2022,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2019,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
