Year,Institución,Territorio histórico,Units,Value
2023,Electas en parlamento autonómico,,%,49.3
2024,Electas en parlamento autonómico,,%,52.0
2019,Electas en parlamento autonómico,,%,53.3
2018,Electas en parlamento autonómico,,%,53.3
2016,Electas en parlamento autonómico,,%,53.3
2014,Electas en parlamento autonómico,,%,49.3
2015,Electas en parlamento autonómico,,%,49.3
2020,Electas en parlamento autonómico,,%,50.7
2017,Electas en parlamento autonómico,,%,53.3
2022,Electas en parlamento autonómico,,%,50.7
2012,Electas en parlamento autonómico,,%,49.3
2013,Electas en parlamento autonómico,,%,49.3
2011,Electas en parlamento autonómico,,%,45.3
2010,Electas en parlamento autonómico,,%,45.3
2021,Electas en parlamento autonómico,,%,50.7
2017,Departamentos en el gobierno autonómico,,%,41.7
2016,Departamentos en el gobierno autonómico,,%,50.0
2023,Departamentos en el gobierno autonómico,,%,45.5
2013,Departamentos en el gobierno autonómico,,%,50.0
2021,Departamentos en el gobierno autonómico,,%,45.5
2024,Departamentos en el gobierno autonómico,,%,46.7
2014,Departamentos en el gobierno autonómico,,%,50.0
2019,Departamentos en el gobierno autonómico,,%,63.6
2012,Departamentos en el gobierno autonómico,,%,50.0
2010,Departamentos en el gobierno autonómico,,%,45.5
2022,Departamentos en el gobierno autonómico,,%,45.5
2011,Departamentos en el gobierno autonómico,,%,50.0
2020,Departamentos en el gobierno autonómico,,%,45.5
2015,Departamentos en el gobierno autonómico,,%,50.0
2018,Departamentos en el gobierno autonómico,,%,41.7
2015,Departamentos en gobiernos forales,,%,50.0
2016,Departamentos en gobiernos forales,,%,50.0
2013,Departamentos en gobiernos forales,,%,42.3
2020,Departamentos en gobiernos forales,,%,55.2
2017,Departamentos en gobiernos forales,,%,50.0
2018,Departamentos en gobiernos forales,,%,50.0
2021,Departamentos en gobiernos forales,,%,55.2
2011,Departamentos en gobiernos forales,,%,42.3
2022,Departamentos en gobiernos forales,,%,51.7
2019,Departamentos en gobiernos forales,,%,55.2
2012,Departamentos en gobiernos forales,,%,42.3
2014,Departamentos en gobiernos forales,,%,42.3
2010,Departamentos en gobiernos forales,,%,36.4
2018,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2022,Departamentos en gobiernos forales,Araba/Álava,%,55.6
2021,Departamentos en gobiernos forales,Araba/Álava,%,66.7
2019,Departamentos en gobiernos forales,Araba/Álava,%,66.7
2016,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2017,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2015,Departamentos en gobiernos forales,Araba/Álava,%,50.0
2013,Departamentos en gobiernos forales,Araba/Álava,%,50.0
