Year,Tipo de uso,Territorio histórico,Units,Value
2017,,,M3,180334331.0
2019,,,M3,178194264.0
2024,,,M3,185475141.0
2023,,,M3,180064405.0
2022,,,M3,178506380.0
2018,,,M3,179965484.0
2021,,,M3,176421751.0
2016,,,M3,180637435.0
2020,,,M3,163675651.0
2013,,,M3,177555343.0
2022,,Araba/Álava,M3,34289283.3
2023,,Araba/Álava,M3,30181664.0
2021,,Araba/Álava,M3,33005213.7
2024,,Araba/Álava,M3,34672990.9
2022,,Bizkaia,M3,80667418.7
2021,,Bizkaia,M3,80592250.2
2024,,Bizkaia,M3,87466566.4
2023,,Bizkaia,M3,86372241.0
2021,,Gipuzkoa,M3,62824287.1
2022,,Gipuzkoa,M3,63549678.2
2024,,Gipuzkoa,M3,63335583.7
2023,,Gipuzkoa,M3,63510500.0
2020,Uso doméstico,,M3,84373909.2
2016,Uso doméstico,,M3,89191117.7
2021,Uso doméstico,,M3,92949522.0
2024,Uso doméstico,,M3,86895250.8
2022,Uso doméstico,,M3,92735193.3
2023,Uso doméstico,,M3,86895324.9
2017,Uso doméstico,,M3,88547260.4
2018,Uso doméstico,,M3,88318278.6
2013,Uso doméstico,,M3,87929643.4
2019,Uso doméstico,,M3,88407446.1
2021,Uso doméstico,Araba/Álava,M3,14177085.4
2024,Uso doméstico,Araba/Álava,M3,13554817.3
2023,Uso doméstico,Araba/Álava,M3,11989165.1
2022,Uso doméstico,Araba/Álava,M3,14077675.9
2024,Uso doméstico,Bizkaia,M3,43197543.9
2023,Uso doméstico,Bizkaia,M3,43068870.3
2022,Uso doméstico,Bizkaia,M3,45514402.4
2021,Uso doméstico,Bizkaia,M3,45477855.0
2021,Uso doméstico,Gipuzkoa,M3,33294582.0
2024,Uso doméstico,Gipuzkoa,M3,30142889.5
2022,Uso doméstico,Gipuzkoa,M3,33143115.0
2023,Uso doméstico,Gipuzkoa,M3,31837289.5
2017,Uso industrial,,M3,66412090.1
2020,Uso industrial,,M3,58454182.7
2022,Uso industrial,,M3,60067313.1
2018,Uso industrial,,M3,66232578.1
2013,Uso industrial,,M3,65635020.7
2021,Uso industrial,,M3,60880414.0
2016,Uso industrial,,M3,65939730.6
2019,Uso industrial,,M3,64695490.7
2024,Uso industrial,,M3,65363899.6
2023,Uso industrial,,M3,61328986.0
2024,Uso industrial,Araba/Álava,M3,15521118.7
