Year,Tipo de tecnología renovable,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2017,,,,,Watts per cápita,,169.5
2018,,,,,Watts per cápita,,171.4
2015,,,,,Watts per cápita,,169.3
2012,,,,,Watts per cápita,,165.9
2023,,,,,Watts per cápita,,218.1
2014,,,,,Watts per cápita,,167.8
2016,,,,,Watts per cápita,,169.3
2019,,,,,Watts per cápita,,173.4
2022,,,,,Watts per cápita,,198.3
2010,,,,,Watts per cápita,,164.7
2013,,,,,Watts per cápita,,167.3
2020,,,,,Watts per cápita,,187.8
2021,,,,,Watts per cápita,,197.6
2011,,,,,Watts per cápita,,164.7
2012,,,,Abadiño,Watts per cápita,Abadiño,28.5
2013,,,,Abadiño,Watts per cápita,Abadiño,28.4
2011,,,,Abadiño,Watts per cápita,Abadiño,28.7
2019,,,,Abadiño,Watts per cápita,Abadiño,32.6
2010,,,,Abadiño,Watts per cápita,Abadiño,27.1
2016,,,,Abadiño,Watts per cápita,Abadiño,29.4
2017,,,,Abadiño,Watts per cápita,Abadiño,29.3
2023,,,,Abadiño,Watts per cápita,Abadiño,168.6
2022,,,,Abadiño,Watts per cápita,Abadiño,39.7
2018,,,,Abadiño,Watts per cápita,Abadiño,31.1
2015,,,,Abadiño,Watts per cápita,Abadiño,29.3
2021,,,,Abadiño,Watts per cápita,Abadiño,37.8
2020,,,,Abadiño,Watts per cápita,Abadiño,33.1
2014,,,,Abadiño,Watts per cápita,Abadiño,29.4
2015,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,63.4
2011,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,43.4
2021,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,79.9
2020,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,65.8
2014,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,61.1
2018,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,61.6
2016,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,63.1
2017,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,64.3
2019,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,64.3
2010,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,43.9
2023,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,215.0
2013,,,,Abaltzisketa,Watts per cápita,Abaltzisketa,44.5
