Year,Series,Sexo,Personas sin y con discapacidad,Units,Value
2022,Ingreso medio por hora,,,Euros,20.8
2020,Ingreso medio por hora,,,Euros,19.9
2016,Ingreso medio por hora,,,Euros,18.2
2010,Ingreso medio por hora,,,Euros,17.4
2011,Ingreso medio por hora,,,Euros,17.2
2012,Ingreso medio por hora,,,Euros,17.4
2014,Ingreso medio por hora,,,Euros,18.3
2015,Ingreso medio por hora,,,Euros,18.4
2021,Ingreso medio por hora,,,Euros,20.4
2017,Ingreso medio por hora,,,Euros,18.5
2013,Ingreso medio por hora,,,Euros,17.5
2019,Ingreso medio por hora,,,Euros,19.5
2018,Ingreso medio por hora,,,Euros,18.9
2018,Ingreso medio por hora,,Sin discapacidad,Euros,19.0
2013,Ingreso medio por hora,,Sin discapacidad,Euros,17.7
2017,Ingreso medio por hora,,Sin discapacidad,Euros,18.6
2011,Ingreso medio por hora,,Sin discapacidad,Euros,17.2
2012,Ingreso medio por hora,,Sin discapacidad,Euros,17.5
2015,Ingreso medio por hora,,Sin discapacidad,Euros,18.5
2014,Ingreso medio por hora,,Sin discapacidad,Euros,18.5
2016,Ingreso medio por hora,,Sin discapacidad,Euros,18.3
2010,Ingreso medio por hora,,Sin discapacidad,Euros,17.5
2016,Ingreso medio por hora,,Con discapacidad,Euros,13.3
2015,Ingreso medio por hora,,Con discapacidad,Euros,14.1
2014,Ingreso medio por hora,,Con discapacidad,Euros,13.7
2011,Ingreso medio por hora,,Con discapacidad,Euros,14.4
2017,Ingreso medio por hora,,Con discapacidad,Euros,13.7
2012,Ingreso medio por hora,,Con discapacidad,Euros,14.6
2018,Ingreso medio por hora,,Con discapacidad,Euros,15.4
2013,Ingreso medio por hora,,Con discapacidad,Euros,13.4
2010,Ingreso medio por hora,,Con discapacidad,Euros,14.9
2020,Ingreso medio por hora,Mujer,,Euros,19.0
2016,Ingreso medio por hora,Mujer,,Euros,16.6
2022,Ingreso medio por hora,Mujer,,Euros,19.8
2010,Ingreso medio por hora,Mujer,,Euros,15.7
2021,Ingreso medio por hora,Mujer,,Euros,19.6
2013,Ingreso medio por hora,Mujer,,Euros,15.4
2012,Ingreso medio por hora,Mujer,,Euros,15.3
2017,Ingreso medio por hora,Mujer,,Euros,17.0
2018,Ingreso medio por hora,Mujer,,Euros,17.6
2011,Ingreso medio por hora,Mujer,,Euros,15.2
2019,Ingreso medio por hora,Mujer,,Euros,18.5
2015,Ingreso medio por hora,Mujer,,Euros,17.0
2014,Ingreso medio por hora,Mujer,,Euros,16.7
2019,Ingreso medio por hora,Hombre,,Euros,20.4
2020,Ingreso medio por hora,Hombre,,Euros,20.7
2012,Ingreso medio por hora,Hombre,,Euros,19.1
2021,Ingreso medio por hora,Hombre,,Euros,21.1
2014,Ingreso medio por hora,Hombre,,Euros,19.6
2017,Ingreso medio por hora,Hombre,,Euros,19.6
2010,Ingreso medio por hora,Hombre,,Euros,18.6
2013,Ingreso medio por hora,Hombre,,Euros,19.1
2018,Ingreso medio por hora,Hombre,,Euros,20.0
2011,Ingreso medio por hora,Hombre,,Euros,18.6
2022,Ingreso medio por hora,Hombre,,Euros,21.7
2015,Ingreso medio por hora,Hombre,,Euros,19.5
2016,Ingreso medio por hora,Hombre,,Euros,19.4
2014,Brecha de género en el salario medio por hora,,,%,15.1
2017,Brecha de género en el salario medio por hora,,,%,12.8
2019,Brecha de género en el salario medio por hora,,,%,9.5
2015,Brecha de género en el salario medio por hora,,,%,12.8
2012,Brecha de género en el salario medio por hora,,,%,20.1
2021,Brecha de género en el salario medio por hora,,,%,7.3
2018,Brecha de género en el salario medio por hora,,,%,11.9
2016,Brecha de género en el salario medio por hora,,,%,14.3
2011,Brecha de género en el salario medio por hora,,,%,18.1
2013,Brecha de género en el salario medio por hora,,,%,19.6
2022,Brecha de género en el salario medio por hora,,,%,8.8
2010,Brecha de género en el salario medio por hora,,,%,15.4
2020,Brecha de género en el salario medio por hora,,,%,8.3
