Year,Dimensión de la pobreza,Units,Value
2008,Riesgo de pobreza (monetaria),%,9.1
2009,Riesgo de pobreza (monetaria),%,10.0
2010,Riesgo de pobreza (monetaria),%,11.7
2011,Riesgo de pobreza (monetaria),%,13.8
2012,Riesgo de pobreza (monetaria),%,13.3
2013,Riesgo de pobreza (monetaria),%,10.5
2014,Riesgo de pobreza (monetaria),%,10.2
2015,Riesgo de pobreza (monetaria),%,10.9
2016,Riesgo de pobreza (monetaria),%,9.0
2017,Riesgo de pobreza (monetaria),%,9.7
2018,Riesgo de pobreza (monetaria),%,8.6
2019,Riesgo de pobreza (monetaria),%,10.0
2020,Riesgo de pobreza (monetaria),%,10.0
2021,Riesgo de pobreza (monetaria),%,12.2
2022,Riesgo de pobreza (monetaria),%,12.2
2023,Riesgo de pobreza (monetaria),%,10.2
2024,Riesgo de pobreza (monetaria),%,9.4
2014,Carencia material y social severa,%,5.1
2015,Carencia material y social severa,%,6.6
2016,Carencia material y social severa,%,4.8
2017,Carencia material y social severa,%,5.1
2018,Carencia material y social severa,%,4.3
2019,Carencia material y social severa,%,4.0
2020,Carencia material y social severa,%,3.3
2021,Carencia material y social severa,%,4.6
2022,Carencia material y social severa,%,3.7
2023,Carencia material y social severa,%,5.6
2024,Carencia material y social severa,%,4.7
2014,Baja intensidad de trabajo,%,12.8
2015,Baja intensidad de trabajo,%,13.9
2016,Baja intensidad de trabajo,%,13.1
2017,Baja intensidad de trabajo,%,7.6
2018,Baja intensidad de trabajo,%,7.2
2019,Baja intensidad de trabajo,%,10.0
2020,Baja intensidad de trabajo,%,7.9
2021,Baja intensidad de trabajo,%,7.5
2022,Baja intensidad de trabajo,%,6.2
2023,Baja intensidad de trabajo,%,7.6
2024,Baja intensidad de trabajo,%,6.9
2014,,%,16.2
2015,,%,18.2
2016,,%,15.9
2017,,%,15.0
2018,,%,12.2
2019,,%,15.0
2020,,%,13.6
2021,,%,16.0
2022,,%,15.7
2023,,%,15.5
2024,,%,14.8
