Year,Series,Units,Value
2016,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,49.3
2017,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,46.7
2018,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,36.1
2019,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,31.6
2020,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,28.5
2021,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,32.5
2022,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,36.5
2023,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,42.0
2024,"Proporción del gasto en viajes culturales sobre el gasto en viajes por ocio, recreo y vacaciones",%,49.6
2016,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,26.7
2017,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,26.5
2018,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,21.6
2019,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,19.4
2020,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,13.5
2021,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,18.3
2022,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,20.8
2023,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,25.0
2024,Proporción del gasto en viajes culturales sobre el gasto en viajes,%,28.9
