Year,Series,Units,Value
2010,Emisiones de CO2 respecto al año 1990,Índice,27.8
2011,Emisiones de CO2 respecto al año 1990,Índice,14.36
2012,Emisiones de CO2 respecto al año 1990,Índice,20.94
2013,Emisiones de CO2 respecto al año 1990,Índice,10.21
2014,Emisiones de CO2 respecto al año 1990,Índice,9.1
2015,Emisiones de CO2 respecto al año 1990,Índice,11.36
2016,Emisiones de CO2 respecto al año 1990,Índice,11.09
2017,Emisiones de CO2 respecto al año 1990,Índice,16.19
2018,Emisiones de CO2 respecto al año 1990,Índice,12.84
2019,Emisiones de CO2 respecto al año 1990,Índice,18.75
2020,Emisiones de CO2 respecto al año 1990,Índice,4.52
2021,Emisiones de CO2 respecto al año 1990,Índice,13.46
2022,Emisiones de CO2 respecto al año 1990,Índice,22.47
