Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2016,Proporción de viviendas con agua corriente,,,,%,,99.9
2013,Proporción de viviendas con agua corriente,,,,%,,99.9
2023,Proporción de viviendas con agua corriente,,,,%,,99.9
2010,Proporción de viviendas con agua corriente,,,,%,,99.9
2018,Proporción de viviendas con agua corriente,,,,%,,99.9
2022,Proporción de viviendas con agua corriente,,,,%,,99.9
2020,Proporción de viviendas con agua corriente,,,,%,,99.9
2021,Proporción de viviendas con agua corriente,,,,%,,99.9
2019,Proporción de viviendas con agua corriente,,,,%,,99.9
2014,Proporción de viviendas con agua corriente,,,,%,,99.9
2015,Proporción de viviendas con agua corriente,,,,%,,99.9
2020,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2016,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2010,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2018,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2014,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2015,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2019,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2022,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2023,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2021,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2013,Proporción de viviendas con agua corriente,,,Abadiño,%,Abadiño,100.0
2015,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2016,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2021,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2010,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2023,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2013,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2020,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2022,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2019,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2014,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2018,Proporción de viviendas con agua corriente,,,Abaltzisketa,%,Abaltzisketa,99.1
2021,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2022,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2010,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.8
2019,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2018,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.8
2016,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.8
2015,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.8
2013,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2020,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2023,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2014,Proporción de viviendas con agua corriente,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.8
2020,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2023,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2022,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2015,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2021,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2016,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2019,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2018,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2013,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2014,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2010,Proporción de viviendas con agua corriente,,,Aduna,%,Aduna,100.0
2023,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2018,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2014,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2015,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2010,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2022,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2013,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2016,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2019,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2020,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2021,Proporción de viviendas con agua corriente,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2019,Proporción de viviendas con agua corriente,,,Aia,%,Aia,99.7
