Year,Series,Units,Value
2014,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.84
2015,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.13
2016,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.94
2017,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,8.34
2018,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,7.92
2019,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.11
2020,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,4.99
2021,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,7.2
2022,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.88
2023,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,6.1
2024,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total),Millones de euros,5.91
