Year,Series,Grupo de ingresos,Territorio histórico,Units,Value
2020,Tasa de crecimiento del gasto familiar per cápita,,,%,-1.1
2012,Tasa de crecimiento del gasto familiar per cápita,,,%,0.5
2020,Tasa de crecimiento del ingreso familiar per cápita,,,%,4.5
2017,Tasa de crecimiento del gasto familiar per cápita,,,%,0.8
2014,Tasa de crecimiento del ingreso familiar per cápita,,,%,-0.9
2015,Tasa de crecimiento del gasto familiar per cápita,,,%,0.6
2019,Tasa de crecimiento del gasto familiar per cápita,,,%,1.7
2016,Tasa de crecimiento del gasto familiar per cápita,,,%,0.5
2012,Tasa de crecimiento del ingreso familiar per cápita,,,%,-1.0
2008,Tasa de crecimiento del ingreso familiar per cápita,,,%,4.2
2018,Tasa de crecimiento del gasto familiar per cápita,,,%,1.2
2011,Tasa de crecimiento del gasto familiar per cápita,,,%,1.7
2014,Tasa de crecimiento del gasto familiar per cápita,,,%,0.1
2022,Tasa de crecimiento del gasto familiar per cápita,,,%,1.3
2021,Tasa de crecimiento del gasto familiar per cápita,,,%,-0.3
2022,Tasa de crecimiento del ingreso familiar per cápita,,,%,3.2
2018,Tasa de crecimiento del ingreso familiar per cápita,,,%,1.6
2013,Tasa de crecimiento del gasto familiar per cápita,,,%,0.0
2016,Tasa de crecimiento del ingreso familiar per cápita,,,%,1.0
2021,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,0.9
2018,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,0.9
2017,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,-0.1
2022,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,2.5
2013,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,-1.3
2015,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,1.1
2011,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,0.3
2014,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,-2.4
2019,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,1.0
2012,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,0.2
2020,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,-1.9
2016,Tasa de crecimiento del gasto familiar per cápita,,Araba/Álava,%,1.0
2022,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,%,1.0
2016,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,%,0.1
2020,Tasa de crecimiento del gasto familiar per cápita,,Bizkaia,%,-1.5
