Year,Partículas en suspensión,Units,Value
2017,"PM 2,5",Microgramos por metro cúbico,9.8
2019,"PM 2,5",Microgramos por metro cúbico,9.0
2018,"PM 2,5",Microgramos por metro cúbico,9.9
2015,"PM 2,5",Microgramos por metro cúbico,10.1
2022,"PM 2,5",Microgramos por metro cúbico,10.4
2013,"PM 2,5",Microgramos por metro cúbico,10.5
2021,"PM 2,5",Microgramos por metro cúbico,10.0
2023,"PM 2,5",Microgramos por metro cúbico,9.5
2014,"PM 2,5",Microgramos por metro cúbico,9.2
2011,"PM 2,5",Microgramos por metro cúbico,11.1
2020,"PM 2,5",Microgramos por metro cúbico,8.8
2016,"PM 2,5",Microgramos por metro cúbico,8.6
2012,"PM 2,5",Microgramos por metro cúbico,10.1
2010,"PM 2,5",Microgramos por metro cúbico,11.3
2024,"PM 2,5",Microgramos por metro cúbico,8.4
2017,PM 10,Microgramos por metro cúbico,17.9
2020,PM 10,Microgramos por metro cúbico,15.6
2011,PM 10,Microgramos por metro cúbico,27.0
2016,PM 10,Microgramos por metro cúbico,15.3
2014,PM 10,Microgramos por metro cúbico,17.4
2023,PM 10,Microgramos por metro cúbico,16.4
2022,PM 10,Microgramos por metro cúbico,17.7
2010,PM 10,Microgramos por metro cúbico,24.2
2018,PM 10,Microgramos por metro cúbico,16.7
2024,PM 10,Microgramos por metro cúbico,14.6
2015,PM 10,Microgramos por metro cúbico,17.9
2021,PM 10,Microgramos por metro cúbico,16.1
2019,PM 10,Microgramos por metro cúbico,16.3
2012,PM 10,Microgramos por metro cúbico,26.7
2013,PM 10,Microgramos por metro cúbico,15.9
