Year,Sexo,Units,Value
2022,,Por 100.000,21.2
2018,,Por 100.000,16.0
2016,,Por 100.000,14.3
2021,,Por 100.000,18.2
2020,,Por 100.000,15.9
2017,,Por 100.000,15.8
2015,,Por 100.000,6.5
2023,,Por 100.000,30.0
2019,,Por 100.000,17.5
2016,Mujer,Por 100.000,19.5
2017,Mujer,Por 100.000,20.4
2015,Mujer,Por 100.000,9.2
2018,Mujer,Por 100.000,19.7
2019,Mujer,Por 100.000,22.0
2021,Mujer,Por 100.000,24.9
2020,Mujer,Por 100.000,21.0
2022,Mujer,Por 100.000,27.2
2023,Mujer,Por 100.000,39.3
2018,Hombre,Por 100.000,12.1
2016,Hombre,Por 100.000,8.9
2015,Hombre,Por 100.000,3.7
2022,Hombre,Por 100.000,14.8
2023,Hombre,Por 100.000,20.1
2019,Hombre,Por 100.000,12.8
2020,Hombre,Por 100.000,10.6
2017,Hombre,Por 100.000,10.9
2021,Hombre,Por 100.000,11.2
