Year,Series,Sector emisor,Units,Value
2012,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,20446954.85
2010,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,21745903.02
2023,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,16193878.49
2013,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,18813755.08
2020,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,16458399.66
2019,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,18599385.12
2022,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,18257908.89
2017,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,19738340.42
2011,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,20245191.39
2018,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,19081397.43
2014,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,18844234.63
2016,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,18745087.37
2021,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,17607243.41
2015,Emisiones totales de gases de efecto invernadero por año,,Toneladas de CO2 equivalente,19467497.86
2014,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6491899.67
2022,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6229281.3
2023,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,4932524.68
2010,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,7710563.12
2018,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6295263.29
2020,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,5234732.8
2016,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6244747.83
2019,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6091976.38
2012,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,7865261.61
2013,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6623455.82
2015,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6950651.82
2021,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,5375563.35
2017,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,6610659.02
2011,Emisiones totales de gases de efecto invernadero por año,Sector energético,Toneladas de CO2 equivalente,7614356.03
2017,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3720919.41
2022,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3227390.65
2012,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,4024916.89
2010,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,5532918.18
2016,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3578212.72
2020,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,2878943.22
2013,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3604364.38
2011,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,4405219.42
2014,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3665899.58
2021,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3464322.87
2023,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3017839.88
2018,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3476428.15
2019,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3368056.2
2015,Emisiones totales de gases de efecto invernadero por año,Industria,Toneladas de CO2 equivalente,3625123.77
2012,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5394772.62
2021,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6037990.74
2023,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6091518.96
2016,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6113744.75
2013,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5462200.41
2011,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5112741.02
2017,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6499841.73
2018,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6414405.77
2010,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5194492.31
2015,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5839117.52
2014,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5649654.36
2019,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6354869.76
2020,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,5699307.41
2022,Emisiones totales de gases de efecto invernadero por año,Transporte,Toneladas de CO2 equivalente,6352811.46
2012,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,814790.05
2021,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,881426.86
2010,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,890544.04
2014,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,716637.45
2011,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,777149.33
2013,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,789279.23
2018,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,912744.58
2015,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,766105.23
2020,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,772217.44
2022,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,803982.93
2016,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,659969.21
2023,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,603362.27
2017,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,779933.68
2019,Emisiones totales de gases de efecto invernadero por año,Residencial,Toneladas de CO2 equivalente,841921.51
2014,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,447981.35
2013,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,465257.0
2012,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,488692.35
2019,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,427599.54
2016,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,408565.73
2018,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,441397.99
2011,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,475709.37
2020,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,379772.44
2021,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,387872.45
2022,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,358609.96
2023,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,275062.34
2010,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,496838.12
2017,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,433450.18
2015,Emisiones totales de gases de efecto invernadero por año,Servicios,Toneladas de CO2 equivalente,477362.54
2021,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,713636.88
2016,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,805621.19
2011,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,810768.78
2023,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,614685.59
2019,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,698728.13
2015,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,836730.99
2010,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,835271.5
2012,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,802660.0
2014,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,848247.83
2017,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,811932.88
2018,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,705609.85
2020,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,703898.51
2022,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,587652.02
2013,Emisiones totales de gases de efecto invernadero por año,Agricultura,Toneladas de CO2 equivalente,846985.75
2023,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,658884.77
2016,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,934225.94
2021,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,746430.27
2019,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,816233.61
2018,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,835547.82
2017,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,881603.52
2015,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,972405.99
2014,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,1023914.38
2013,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,1022212.49
2012,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,1055861.33
2011,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,1049247.43
2010,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,1085275.74
2022,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,698180.57
2020,Emisiones totales de gases de efecto invernadero por año,Residuos,Toneladas de CO2 equivalente,789534.5
2017,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.24
2010,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.29
2019,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.22
2020,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.21
2012,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.28
2011,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.27
2023,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.18
2015,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.26
2014,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.25
2013,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.26
2021,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.21
2022,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.21
2016,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.24
2018,Emisiones totales de gases de efecto invernadero por unidad de PIB,,Kg de CO2 equivalente por euro,0.23
2021,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.04
2019,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.48
2016,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.62
2017,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,9.06
2023,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,7.36
2018,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.74
2010,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,10.01
2012,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,9.38
2014,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.67
2015,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.96
2013,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.65
2020,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,7.49
2011,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,9.3
2022,Emisiones totales de gases de efecto invernadero per cápita,,Toneladas de CO2 equivalente per cápita,8.34
2011,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-2.46
2019,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-10.39
2012,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-1.49
2017,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-4.9
2018,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-8.07
2016,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-9.69
2010,Emisiones de gases de efecto invernadero respecto al año 1990,,%,4.77
2021,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-15.17
2020,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-20.71
2013,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-9.36
2023,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-21.98
2014,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-9.21
2015,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-6.21
2022,Emisiones de gases de efecto invernadero respecto al año 1990,,%,-12.04
2020,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-35.52
2014,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-26.17
2022,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-28.47
2019,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-27.13
2012,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-19.89
2013,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-26.29
2016,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-26.56
2018,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-25.24
2015,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-23.73
2023,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-36.55
2017,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-22.67
2021,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-31.02
2010,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-14.8
2011,Emisiones de gases de efecto invernadero respecto al año 2005,,%,-20.68
