Year,Tipo de explotación,Units,Value
2021,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2016,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2023,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.8
2017,Obtención de órganos,Por 100.000,0.0
2022,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2020,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.1
2020,Obtención de órganos,Por 100.000,0.0
2019,Obtención de órganos,Por 100.000,0.0
2017,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2015,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2019,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2018,"Trabajo forzado, servidumbre y esclavitud",Por 100.000,0.0
2018,Obtención de órganos,Por 100.000,0.0
2016,Obtención de órganos,Por 100.000,0.0
2021,Obtención de órganos,Por 100.000,0.0
2023,Trata de personas (todos los fines),Por 100.000,1.5
2019,Trata de personas (todos los fines),Por 100.000,0.8
2017,Trata de personas (todos los fines),Por 100.000,0.1
2018,Trata de personas (todos los fines),Por 100.000,0.0
2020,Trata de personas (todos los fines),Por 100.000,0.5
2021,Trata de personas (todos los fines),Por 100.000,0.0
2022,Trata de personas (todos los fines),Por 100.000,0.2
2016,Trata de personas (todos los fines),Por 100.000,0.0
2012,Explotación sexual,Por 100.000,0.1
2015,Explotación sexual,Por 100.000,0.1
2013,Explotación sexual,Por 100.000,0.4
2014,Explotación sexual,Por 100.000,0.0
2016,Explotación sexual,Por 100.000,0.0
2017,Explotación sexual,Por 100.000,0.1
2021,Explotación sexual,Por 100.000,0.0
2018,Explotación sexual,Por 100.000,0.0
2020,Explotación sexual,Por 100.000,0.4
2022,Explotación sexual,Por 100.000,0.2
2019,Explotación sexual,Por 100.000,0.8
2023,Explotación sexual,Por 100.000,0.7
2017,Otros fines,Por 100.000,0.0
2018,Otros fines,Por 100.000,0.0
2019,Otros fines,Por 100.000,0.0
2016,Otros fines,Por 100.000,0.0
2023,Otros fines,Por 100.000,0.0
2020,Otros fines,Por 100.000,0.0
2021,Otros fines,Por 100.000,0.0
2022,Otros fines,Por 100.000,0.0
