Year,Series,Units,Value
2013,GF_XPD_GBPC,Porcentaje,91.22
2018,GF_XPD_GBPC,Porcentaje,99.46
2017,EU_XPD_LOCALGBPC,Porcentaje,106.06
2022,GF_XPD_GBPC,Porcentaje,105.06
2019,GF_XPD_GBPC,Porcentaje,106.56
2014,GF_XPD_GBPC,Porcentaje,98.26
2017,GF_XPD_GBPC,Porcentaje,97.52
2021,EU_XPD_LOCALGBPC,Porcentaje,107.29
2012,GF_XPD_GBPC,Porcentaje,97.69
2020,EU_XPD_LOCALGBPC,Porcentaje,90.48
2021,GF_XPD_GBPC,Porcentaje,101.01
2020,GF_XPD_GBPC,Porcentaje,99.79
2015,GF_XPD_GBPC,Porcentaje,95.46
2010,GF_XPD_GBPC,Porcentaje,100.0
2022,EU_XPD_LOCALGBPC,Porcentaje,103.74
2023,EU_XPD_LOCALGBPC,Porcentaje,101.37
2018,EU_XPD_LOCALGBPC,Porcentaje,101.54
2019,EU_XPD_LOCALGBPC,Porcentaje,100.69
2016,GF_XPD_GBPC,Porcentaje,94.36
2011,GF_XPD_GBPC,Porcentaje,96.27
