Year,Series,Territorio histórico,Units,Value
2012,Tasa de variación interanual del PIB,,Porcentaje,-1.9
2013,Tasa de variación interanual del PIB,,Porcentaje,-1.7
2021,Tasa de variación interanual del PIB,,Porcentaje,6.0
2015,Tasa de variación interanual del PIB,,Porcentaje,3.0
2020,Tasa de variación interanual del PIB,,Porcentaje,-9.6
2018,Tasa de variación interanual del PIB,,Porcentaje,3.1
2016,Tasa de variación interanual del PIB,,Porcentaje,3.3
2014,Tasa de variación interanual del PIB,,Porcentaje,1.7
2010,Tasa de variación interanual del PIB,,Porcentaje,0.7
2017,Tasa de variación interanual del PIB,,Porcentaje,2.8
2019,Tasa de variación interanual del PIB,,Porcentaje,2.3
2022,Tasa de variación interanual del PIB,,Porcentaje,5.4
2011,Tasa de variación interanual del PIB,,Porcentaje,0.3
2010,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,1.2
2011,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,0.8
2017,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,2.1
2021,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,6.0
2016,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,3.1
2014,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,2.0
2013,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,-1.7
2012,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,-2.3
2022,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,4.3
2019,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,1.9
2020,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,-10.4
2015,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,3.0
2018,Tasa de variación interanual del PIB,Araba/Álava,Porcentaje,2.2
2021,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,6.1
2015,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,2.8
2012,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,-2.2
2020,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,-9.2
2022,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,6.5
2018,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,2.9
2014,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,1.4
2019,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,2.2
2011,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,0.2
2010,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,0.6
2016,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,3.5
2017,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,3.0
2013,Tasa de variación interanual del PIB,Bizkaia,Porcentaje,-1.5
2015,Tasa de variación interanual del PIB,Gipuzkoa,Porcentaje,3.4
2012,Tasa de variación interanual del PIB,Gipuzkoa,Porcentaje,-1.3
2018,Tasa de variación interanual del PIB,Gipuzkoa,Porcentaje,3.7
