Year,Sexo,Units,Value
2018,,Porcentaje,12.8
2014,,Porcentaje,13.0
2013,,Porcentaje,14.5
2023,,Porcentaje,14.0
2011,,Porcentaje,15.3
2017,,Porcentaje,13.8
2019,,Porcentaje,13.5
2011,Mujer,Porcentaje,15.3
2013,Mujer,Porcentaje,13.8
2014,Mujer,Porcentaje,11.9
2017,Mujer,Porcentaje,13.5
2019,Mujer,Porcentaje,13.5
2018,Mujer,Porcentaje,11.7
2023,Mujer,Porcentaje,13.5
2023,Hombre,Porcentaje,14.6
2017,Hombre,Porcentaje,14.2
2013,Hombre,Porcentaje,15.2
2011,Hombre,Porcentaje,15.2
2018,Hombre,Porcentaje,14.0
2019,Hombre,Porcentaje,13.5
2014,Hombre,Porcentaje,14.2
