Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2014,All,,,,Porcentaje,,1.3
2010,All,,,,Porcentaje,,0.8
2021,All,,,,Porcentaje,,3.5
2018,All,,,,Porcentaje,,2.0
2019,All,,,,Porcentaje,,2.5
2013,All,,,,Porcentaje,,1.2
2012,All,,,,Porcentaje,,1.1
2023,All,,,,Porcentaje,,4.8
2016,All,,,,Porcentaje,,1.5
2009,All,,,,Porcentaje,,0.7
2011,All,,,,Porcentaje,,0.9
2020,All,,,,Porcentaje,,3.0
2015,All,,,,Porcentaje,,1.3
2022,All,,,,Porcentaje,,4.1
2017,All,,,,Porcentaje,,1.9
2008,All,,,,Porcentaje,,0.6
2012,All,,,Abadiño,Porcentaje,Abadiño,0.5
2017,All,,,Abadiño,Porcentaje,Abadiño,0.3
2013,All,,,Abadiño,Porcentaje,Abadiño,0.5
2011,All,,,Abadiño,Porcentaje,Abadiño,0.5
2019,All,,,Abadiño,Porcentaje,Abadiño,3.8
2014,All,,,Abadiño,Porcentaje,Abadiño,0.5
2010,All,,,Abadiño,Porcentaje,Abadiño,0.3
2022,All,,,Abadiño,Porcentaje,Abadiño,5.5
2020,All,,,Abadiño,Porcentaje,Abadiño,5.3
2016,All,,,Abadiño,Porcentaje,Abadiño,0.3
2015,All,,,Abadiño,Porcentaje,Abadiño,0.5
2018,All,,,Abadiño,Porcentaje,Abadiño,0.3
2023,All,,,Abadiño,Porcentaje,Abadiño,5.6
2021,All,,,Abadiño,Porcentaje,Abadiño,5.6
2018,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,1.0
2023,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.2
2015,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2021,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.2
2016,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2012,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,1.1
2022,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,2.2
2010,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,1.1
2014,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2017,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.0
2020,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.8
2013,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,1.1
2019,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,0.8
2011,All,,,Abaltzisketa,Porcentaje,Abaltzisketa,1.1
2019,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.1
2021,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2014,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2022,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2010,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2011,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2015,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2018,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,1.9
2017,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2013,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2012,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2020,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2016,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.0
2023,All,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2013,All,,,Aduna,Porcentaje,Aduna,0.0
2021,All,,,Aduna,Porcentaje,Aduna,0.0
