Year,Territorio histórico,Sexo,Units,Value
2011,,,Por 1.000 nacidos vivos,1.7
2010,,,Por 1.000 nacidos vivos,1.75
2020,,,Por 1.000 nacidos vivos,1.76
2016,,,Por 1.000 nacidos vivos,1.43
2014,,,Por 1.000 nacidos vivos,1.5
2015,,,Por 1.000 nacidos vivos,1.7
2017,,,Por 1.000 nacidos vivos,1.41
2012,,,Por 1.000 nacidos vivos,1.7
2018,,,Por 1.000 nacidos vivos,2.18
2022,,,Por 1.000 nacidos vivos,2.2
2021,,,Por 1.000 nacidos vivos,1.54
2013,,,Por 1.000 nacidos vivos,1.46
2019,,,Por 1.000 nacidos vivos,2.08
2023,,,Por 1.000 nacidos vivos,1.78
2015,Araba/Álava,,Por 1.000 nacidos vivos,0.95
2012,Araba/Álava,,Por 1.000 nacidos vivos,2.43
2010,Araba/Álava,,Por 1.000 nacidos vivos,1.49
2017,Araba/Álava,,Por 1.000 nacidos vivos,1.01
2014,Araba/Álava,,Por 1.000 nacidos vivos,1.83
2019,Araba/Álava,,Por 1.000 nacidos vivos,1.56
2011,Araba/Álava,,Por 1.000 nacidos vivos,2.04
2016,Araba/Álava,,Por 1.000 nacidos vivos,1.63
2020,Araba/Álava,,Por 1.000 nacidos vivos,1.25
2021,Araba/Álava,,Por 1.000 nacidos vivos,2.96
2013,Araba/Álava,,Por 1.000 nacidos vivos,1.29
2023,Araba/Álava,,Por 1.000 nacidos vivos,3.61
2022,Araba/Álava,,Por 1.000 nacidos vivos,3.09
2018,Araba/Álava,,Por 1.000 nacidos vivos,1.49
2020,Bizkaia,,Por 1.000 nacidos vivos,1.78
2018,Bizkaia,,Por 1.000 nacidos vivos,2.64
2010,Bizkaia,,Por 1.000 nacidos vivos,2.36
2019,Bizkaia,,Por 1.000 nacidos vivos,2.59
2012,Bizkaia,,Por 1.000 nacidos vivos,1.74
2015,Bizkaia,,Por 1.000 nacidos vivos,2.14
2023,Bizkaia,,Por 1.000 nacidos vivos,1.65
2013,Bizkaia,,Por 1.000 nacidos vivos,1.03
2016,Bizkaia,,Por 1.000 nacidos vivos,1.64
2022,Bizkaia,,Por 1.000 nacidos vivos,2.19
2017,Bizkaia,,Por 1.000 nacidos vivos,1.88
2011,Bizkaia,,Por 1.000 nacidos vivos,2.06
2014,Bizkaia,,Por 1.000 nacidos vivos,1.33
2021,Bizkaia,,Por 1.000 nacidos vivos,1.15
2014,Gipuzkoa,,Por 1.000 nacidos vivos,1.57
2016,Gipuzkoa,,Por 1.000 nacidos vivos,1.0
2010,Gipuzkoa,,Por 1.000 nacidos vivos,0.97
2017,Gipuzkoa,,Por 1.000 nacidos vivos,0.89
2018,Gipuzkoa,,Por 1.000 nacidos vivos,1.83
2019,Gipuzkoa,,Por 1.000 nacidos vivos,1.56
2023,Gipuzkoa,,Por 1.000 nacidos vivos,1.1
2011,Gipuzkoa,,Por 1.000 nacidos vivos,0.99
2020,Gipuzkoa,,Por 1.000 nacidos vivos,1.99
2021,Gipuzkoa,,Por 1.000 nacidos vivos,1.42
2022,Gipuzkoa,,Por 1.000 nacidos vivos,1.77
2015,Gipuzkoa,,Por 1.000 nacidos vivos,1.41
2013,Gipuzkoa,,Por 1.000 nacidos vivos,2.23
2012,Gipuzkoa,,Por 1.000 nacidos vivos,1.3
2019,,Mujer,Por 1.000 nacidos vivos,2.0
2020,,Mujer,Por 1.000 nacidos vivos,2.11
2012,,Mujer,Por 1.000 nacidos vivos,1.84
2021,,Mujer,Por 1.000 nacidos vivos,1.31
2014,,Mujer,Por 1.000 nacidos vivos,1.26
2015,,Mujer,Por 1.000 nacidos vivos,1.75
2010,,Mujer,Por 1.000 nacidos vivos,1.74
2018,,Mujer,Por 1.000 nacidos vivos,2.3
2016,,Mujer,Por 1.000 nacidos vivos,1.23
2023,,Mujer,Por 1.000 nacidos vivos,1.68
2022,,Mujer,Por 1.000 nacidos vivos,1.66
2017,,Mujer,Por 1.000 nacidos vivos,1.33
2011,,Mujer,Por 1.000 nacidos vivos,2.59
2013,,Mujer,Por 1.000 nacidos vivos,0.97
2016,Araba/Álava,Mujer,Por 1.000 nacidos vivos,1.31
2015,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.66
2014,Araba/Álava,Mujer,Por 1.000 nacidos vivos,1.87
2013,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.0
2011,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.37
2022,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.92
2012,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.57
2023,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.86
2021,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.65
2017,Araba/Álava,Mujer,Por 1.000 nacidos vivos,1.37
2010,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.62
2020,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.86
2018,Araba/Álava,Mujer,Por 1.000 nacidos vivos,0.0
2019,Araba/Álava,Mujer,Por 1.000 nacidos vivos,2.39
2017,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.95
2019,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.41
2021,Bizkaia,Mujer,Por 1.000 nacidos vivos,0.9
2023,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.53
2016,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.57
2015,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.93
2013,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.06
2012,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.0
2011,Bizkaia,Mujer,Por 1.000 nacidos vivos,3.21
2010,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.31
2014,Bizkaia,Mujer,Por 1.000 nacidos vivos,1.26
2018,Bizkaia,Mujer,Por 1.000 nacidos vivos,3.07
2020,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.57
2022,Bizkaia,Mujer,Por 1.000 nacidos vivos,2.07
2010,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.41
2012,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.23
2013,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.3
2015,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.63
2023,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.33
2022,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.4
2021,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.26
2020,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,2.05
2019,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.19
2018,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,2.27
2017,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.37
2016,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.68
2014,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,0.96
2011,Gipuzkoa,Mujer,Por 1.000 nacidos vivos,1.75
2020,,Hombre,Por 1.000 nacidos vivos,1.44
2021,,Hombre,Por 1.000 nacidos vivos,1.75
2019,,Hombre,Por 1.000 nacidos vivos,2.15
2017,,Hombre,Por 1.000 nacidos vivos,1.47
2022,,Hombre,Por 1.000 nacidos vivos,2.7
2012,,Hombre,Por 1.000 nacidos vivos,1.58
2014,,Hombre,Por 1.000 nacidos vivos,1.72
2013,,Hombre,Por 1.000 nacidos vivos,1.93
2010,,Hombre,Por 1.000 nacidos vivos,1.76
2018,,Hombre,Por 1.000 nacidos vivos,2.06
2011,,Hombre,Por 1.000 nacidos vivos,0.84
2015,,Hombre,Por 1.000 nacidos vivos,1.64
2016,,Hombre,Por 1.000 nacidos vivos,1.61
2023,,Hombre,Por 1.000 nacidos vivos,1.89
2013,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.47
2011,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.72
2017,Araba/Álava,Hombre,Por 1.000 nacidos vivos,0.67
2016,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.94
2021,Araba/Álava,Hombre,Por 1.000 nacidos vivos,3.24
2015,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.22
2022,Araba/Álava,Hombre,Por 1.000 nacidos vivos,5.1
2012,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.3
2020,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.62
2023,Araba/Álava,Hombre,Por 1.000 nacidos vivos,4.28
2014,Araba/Álava,Hombre,Por 1.000 nacidos vivos,1.79
2018,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.89
2019,Araba/Álava,Hombre,Por 1.000 nacidos vivos,0.76
2010,Araba/Álava,Hombre,Por 1.000 nacidos vivos,2.3
2022,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.3
2021,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.38
2020,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.05
2019,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.76
2018,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.23
2017,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.81
2016,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.7
2015,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.43
2014,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.41
2013,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.0
2012,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.5
2011,Bizkaia,Hombre,Por 1.000 nacidos vivos,0.93
2010,Bizkaia,Hombre,Por 1.000 nacidos vivos,2.4
2023,Bizkaia,Hombre,Por 1.000 nacidos vivos,1.76
2015,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,2.19
2014,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,2.16
2013,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,3.11
2012,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.37
2011,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,0.28
2017,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.38
2010,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,0.55
2023,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,0.86
2022,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,2.11
2021,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.57
2020,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.93
2019,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.92
2018,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.41
2016,Gipuzkoa,Hombre,Por 1.000 nacidos vivos,1.3
