Year,Series,Sexo,Units,Value
2015,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2017,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2014,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2022,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2020,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2010,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2012,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2018,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2011,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2021,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2016,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2013,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2023,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2019,Incidencia de la malaria por cada 1.000 habitantes,,Por 1.000,0
2017,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2014,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2023,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2016,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2021,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2011,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2020,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2022,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2019,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2010,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2015,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2013,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2018,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2012,Incidencia de la malaria por cada 1.000 habitantes,Mujer,Por 1.000,0
2018,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2019,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2021,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2014,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2020,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2015,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2010,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2011,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2012,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2013,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2017,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2023,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2022,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
2016,Incidencia de la malaria por cada 1.000 habitantes,Hombre,Por 1.000,0
