Year,Series,Sexo,Units,Value
2012,Cáncer colorrectal,,%,67.7
2024,Cáncer colorrectal,,%,71.0
2019,Cáncer colorrectal,,%,71.2
2020,Cáncer colorrectal,,%,70.9
2015,Cáncer colorrectal,,%,70.3
2014,Cáncer colorrectal,,%,70.7
2023,Cáncer colorrectal,,%,69.7
2021,Cáncer colorrectal,,%,72.0
2018,Cáncer colorrectal,,%,72.5
2016,Cáncer colorrectal,,%,72.4
2025,Cáncer colorrectal,,%,71.7
2017,Cáncer colorrectal,,%,72.3
2013,Cáncer colorrectal,,%,69.7
2022,Cáncer colorrectal,,%,70.5
2016,Cáncer colorrectal,Mujer,%,74.6
2014,Cáncer colorrectal,Mujer,%,73.0
2025,Cáncer colorrectal,Mujer,%,73.8
2018,Cáncer colorrectal,Mujer,%,74.9
2023,Cáncer colorrectal,Mujer,%,72.2
2012,Cáncer colorrectal,Mujer,%,70.3
2024,Cáncer colorrectal,Mujer,%,73.6
2022,Cáncer colorrectal,Mujer,%,73.0
2021,Cáncer colorrectal,Mujer,%,74.4
2017,Cáncer colorrectal,Mujer,%,74.6
2020,Cáncer colorrectal,Mujer,%,73.5
2015,Cáncer colorrectal,Mujer,%,72.6
2013,Cáncer colorrectal,Mujer,%,72.1
2019,Cáncer colorrectal,Mujer,%,73.7
2025,Cáncer colorrectal,Hombre,%,69.5
2022,Cáncer colorrectal,Hombre,%,67.8
2016,Cáncer colorrectal,Hombre,%,70.0
2023,Cáncer colorrectal,Hombre,%,67.1
2024,Cáncer colorrectal,Hombre,%,68.3
2015,Cáncer colorrectal,Hombre,%,67.9
2013,Cáncer colorrectal,Hombre,%,67.1
2014,Cáncer colorrectal,Hombre,%,68.2
2020,Cáncer colorrectal,Hombre,%,68.2
2021,Cáncer colorrectal,Hombre,%,69.4
2019,Cáncer colorrectal,Hombre,%,68.4
2017,Cáncer colorrectal,Hombre,%,70.0
2012,Cáncer colorrectal,Hombre,%,64.9
2018,Cáncer colorrectal,Hombre,%,70.0
2017,Cáncer de mama,,%,76.4
2019,Cáncer de mama,,%,76.4
2012,Cáncer de mama,,%,81.8
2021,Cáncer de mama,,%,76.5
2016,Cáncer de mama,,%,79.4
2023,Cáncer de mama,,%,79.3
2014,Cáncer de mama,,%,79.8
2018,Cáncer de mama,,%,76.8
2015,Cáncer de mama,,%,80.8
2024,Cáncer de mama,,%,79.4
2013,Cáncer de mama,,%,80.3
2022,Cáncer de mama,,%,72.8
2020,Cáncer de mama,,%,74.3
