Year,Series,Sexo,Territorio histórico,Units,Value
2012,Esperanza de vida al nacer,,,Años,82.67
2010,Esperanza de vida al nacer,,,Años,82.36
2013,Esperanza de vida al nacer,,,Años,83.09
2020,Esperanza de vida al nacer,,,Años,83.09
2016,Esperanza de vida al nacer,,,Años,83.35
2015,Esperanza de vida al nacer,,,Años,82.97
2011,Esperanza de vida al nacer,,,Años,82.39
2014,Esperanza de vida al nacer,,,Años,83.26
2017,Esperanza de vida al nacer,,,Años,83.48
2022,Esperanza de vida al nacer,,,Años,83.36
2021,Esperanza de vida al nacer,,,Años,83.69
2018,Esperanza de vida al nacer,,,Años,83.59
2019,Esperanza de vida al nacer,,,Años,83.9
2012,Esperanza de vida al nacer,,Araba/Álava,Años,83.46
2010,Esperanza de vida al nacer,,Araba/Álava,Años,83.16
2018,Esperanza de vida al nacer,,Araba/Álava,Años,84.24
2016,Esperanza de vida al nacer,,Araba/Álava,Años,84.04
2014,Esperanza de vida al nacer,,Araba/Álava,Años,84.27
2019,Esperanza de vida al nacer,,Araba/Álava,Años,84.66
2017,Esperanza de vida al nacer,,Araba/Álava,Años,83.85
2011,Esperanza de vida al nacer,,Araba/Álava,Años,82.97
2015,Esperanza de vida al nacer,,Araba/Álava,Años,83.39
2013,Esperanza de vida al nacer,,Araba/Álava,Años,83.37
2021,Esperanza de vida al nacer,,Araba/Álava,Años,84.3
2020,Esperanza de vida al nacer,,Araba/Álava,Años,83.42
2022,Esperanza de vida al nacer,,Araba/Álava,Años,83.98
2013,Esperanza de vida al nacer,,Bizkaia,Años,83.09
2016,Esperanza de vida al nacer,,Bizkaia,Años,83.08
2017,Esperanza de vida al nacer,,Bizkaia,Años,83.45
2019,Esperanza de vida al nacer,,Bizkaia,Años,83.6
2014,Esperanza de vida al nacer,,Bizkaia,Años,83.0
2022,Esperanza de vida al nacer,,Bizkaia,Años,83.29
2018,Esperanza de vida al nacer,,Bizkaia,Años,83.44
2020,Esperanza de vida al nacer,,Bizkaia,Años,82.93
2011,Esperanza de vida al nacer,,Bizkaia,Años,82.11
2021,Esperanza de vida al nacer,,Bizkaia,Años,83.71
2012,Esperanza de vida al nacer,,Bizkaia,Años,82.43
2010,Esperanza de vida al nacer,,Bizkaia,Años,82.0
2015,Esperanza de vida al nacer,,Bizkaia,Años,82.86
2010,Esperanza de vida al nacer,,Gipuzkoa,Años,82.62
2021,Esperanza de vida al nacer,,Gipuzkoa,Años,83.21
2016,Esperanza de vida al nacer,,Gipuzkoa,Años,83.52
2018,Esperanza de vida al nacer,,Gipuzkoa,Años,83.56
2015,Esperanza de vida al nacer,,Gipuzkoa,Años,82.97
2011,Esperanza de vida al nacer,,Gipuzkoa,Años,82.62
2017,Esperanza de vida al nacer,,Gipuzkoa,Años,83.39
2022,Esperanza de vida al nacer,,Gipuzkoa,Años,83.2
