Year,Sexo,Units,Value
2016,,Porcentaje,0.0
2023,,Porcentaje,1.2
2022,,Porcentaje,0.7
2010,,Porcentaje,0.1
2020,,Porcentaje,0.1
2017,,Porcentaje,0.0
2015,,Porcentaje,0.0
2013,,Porcentaje,0.2
2014,,Porcentaje,0.4
2024,,Porcentaje,1.3
2021,,Porcentaje,0.7
2019,,Porcentaje,1.1
2012,,Porcentaje,0.7
2011,,Porcentaje,0.2
2018,,Porcentaje,1.1
2010,Mujer,Porcentaje,0.1
2011,Mujer,Porcentaje,0.2
2012,Mujer,Porcentaje,0.4
2014,Mujer,Porcentaje,0.4
2015,Mujer,Porcentaje,0.0
2016,Mujer,Porcentaje,0.0
2017,Mujer,Porcentaje,0.0
2019,Mujer,Porcentaje,1.3
2013,Mujer,Porcentaje,0.2
2020,Mujer,Porcentaje,0.2
2021,Mujer,Porcentaje,0.7
2022,Mujer,Porcentaje,0.9
2018,Mujer,Porcentaje,0.9
2023,Mujer,Porcentaje,1.3
2024,Mujer,Porcentaje,1.7
2024,Hombre,Porcentaje,0.9
2017,Hombre,Porcentaje,0.0
2013,Hombre,Porcentaje,0.2
2010,Hombre,Porcentaje,0.1
2018,Hombre,Porcentaje,1.3
2019,Hombre,Porcentaje,0.9
2011,Hombre,Porcentaje,0.2
2014,Hombre,Porcentaje,0.4
2020,Hombre,Porcentaje,0.0
2021,Hombre,Porcentaje,0.6
2015,Hombre,Porcentaje,0.0
2012,Hombre,Porcentaje,1.1
2022,Hombre,Porcentaje,0.5
2023,Hombre,Porcentaje,1.0
2016,Hombre,Porcentaje,0.0
