Year,Tipo de competencia,Sexo,Units,Value
2015,Comprensión lectora,,%,82.6
2012,Comprensión lectora,,%,85.6
2018,Comprensión lectora,,%,77.0
2022,Comprensión lectora,,%,74.2
2022,Comprensión lectora,Mujer,%,80.1
2015,Comprensión lectora,Mujer,%,86.6
2012,Comprensión lectora,Mujer,%,90.1
2018,Comprensión lectora,Mujer,%,83.6
2022,Comprensión lectora,Hombre,%,68.3
2015,Comprensión lectora,Hombre,%,78.4
2018,Comprensión lectora,Hombre,%,70.2
2012,Comprensión lectora,Hombre,%,81.1
2015,Matemáticas,,%,80.5
2012,Matemáticas,,%,84.5
2018,Matemáticas,,%,81.9
2022,Matemáticas,,%,77.3
2018,Matemáticas,Mujer,%,83.4
2022,Matemáticas,Mujer,%,78.0
2012,Matemáticas,Mujer,%,83.4
2015,Matemáticas,Mujer,%,79.9
2018,Matemáticas,Hombre,%,80.3
2015,Matemáticas,Hombre,%,81.1
2012,Matemáticas,Hombre,%,85.6
2022,Matemáticas,Hombre,%,76.7
