Year,Series,Nivel educativo,Units,Value
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,95.5
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,94.9
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,99.4
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,94.7
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,98.1
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,97.0
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,95.2
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria inferior,%,96.0
2016,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,79.1
2018,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,80.9
2019,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,82.7
2020,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,81.5
2021,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,82.9
2015,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,79.4
2017,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,77.9
2022,Tasa de finalización (educación secundaria inferior y educación secundaria superior),Secundaria superior,%,84.7
