Year,Sexo,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2022,,,,,%,,96.8
2021,,,,,%,,99.7
2023,,,,,%,,100.0
2021,,,,Abadiño,%,Abadiño,100.0
2022,,,,Abadiño,%,Abadiño,97.3
2023,,,,Abadiño,%,Abadiño,100.0
2023,,,,Abaltzisketa,%,Abaltzisketa,100.0
2022,,,,Abaltzisketa,%,Abaltzisketa,100.0
2023,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2021,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,100.0
2022,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,95.7
2021,,,,Aduna,%,Aduna,100.0
2022,,,,Aduna,%,Aduna,100.0
2023,,,,Aduna,%,Aduna,100.0
2023,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2021,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2022,,,,Agurain/Salvatierra,%,Agurain/Salvatierra,93.8
2021,,,,Aia,%,Aia,100.0
2023,,,,Aia,%,Aia,100.0
2022,,,,Aia,%,Aia,95.8
2023,,,,Aizarnazabal,%,Aizarnazabal,100.0
2021,,,,Aizarnazabal,%,Aizarnazabal,100.0
2022,,,,Aizarnazabal,%,Aizarnazabal,100.0
2021,,,,Ajangiz,%,Ajangiz,100.0
2023,,,,Ajangiz,%,Ajangiz,100.0
2022,,,,Ajangiz,%,Ajangiz,100.0
2021,,,,Albiztur,%,Albiztur,100.0
2023,,,,Albiztur,%,Albiztur,100.0
2022,,,,Albiztur,%,Albiztur,100.0
2021,,,,Alegia,%,Alegia,100.0
2022,,,,Alegia,%,Alegia,100.0
2023,,,,Alegia,%,Alegia,100.0
2021,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2023,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,100.0
2022,,,,Alegría-Dulantzi,%,Alegría-Dulantzi,97.2
2021,,,,Alkiza,%,Alkiza,100.0
2023,,,,Alkiza,%,Alkiza,100.0
2022,,,,Alkiza,%,Alkiza,100.0
2021,,,,Alonsotegi,%,Alonsotegi,100.0
2022,,,,Alonsotegi,%,Alonsotegi,100.0
2023,,,,Alonsotegi,%,Alonsotegi,100.0
2023,,,,Altzaga,%,Altzaga,100.0
2022,,,,Altzaga,%,Altzaga,100.0
2021,,,,Altzaga,%,Altzaga,100.0
2022,,,,Altzo,%,Altzo,100.0
2021,,,,Altzo,%,Altzo,100.0
2023,,,,Altzo,%,Altzo,100.0
2022,,,,Amezketa,%,Amezketa,100.0
2021,,,,Amezketa,%,Amezketa,100.0
2023,,,,Amezketa,%,Amezketa,100.0
2021,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,100.0
2022,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,97.5
2023,,,,Amorebieta-Etxano,%,Amorebieta-Etxano,100.0
2023,,,,Amoroto,%,Amoroto,100.0
2022,,,,Amoroto,%,Amoroto,100.0
2023,,,,Amurrio,%,Amurrio,100.0
2022,,,,Amurrio,%,Amurrio,100.0
2021,,,,Amurrio,%,Amurrio,100.0
2022,,,,Andoain,%,Andoain,96.8
2023,,,,Andoain,%,Andoain,100.0
2021,,,,Andoain,%,Andoain,100.0
2022,,,,Anoeta,%,Anoeta,100.0
2023,,,,Anoeta,%,Anoeta,100.0
2021,,,,Anoeta,%,Anoeta,100.0
2021,,,,Antzuola,%,Antzuola,100.0
2022,,,,Antzuola,%,Antzuola,100.0
2023,,,,Antzuola,%,Antzuola,100.0
2022,,,,Añana,%,Añana,100.0
2022,,,,Arakaldo,%,Arakaldo,100.0
2023,,,,Arakaldo,%,Arakaldo,100.0
2021,,,,Arakaldo,%,Arakaldo,100.0
2021,,,,Arama,%,Arama,100.0
2023,,,,Arama,%,Arama,100.0
2022,,,,Arama,%,Arama,100.0
2023,,,,Aramaio,%,Aramaio,100.0
2022,,,,Aramaio,%,Aramaio,100.0
2021,,,,Aramaio,%,Aramaio,100.0
2023,,,,Arantzazu,%,Arantzazu,100.0
2022,,,,Arantzazu,%,Arantzazu,100.0
2021,,,,Arantzazu,%,Arantzazu,100.0
2023,,,,Areatza,%,Areatza,100.0
2021,,,,Areatza,%,Areatza,100.0
2022,,,,Areatza,%,Areatza,100.0
2023,,,,Aretxabaleta,%,Aretxabaleta,100.0
2022,,,,Aretxabaleta,%,Aretxabaleta,100.0
2021,,,,Aretxabaleta,%,Aretxabaleta,98.6
2023,,,,Armiñón,%,Armiñón,100.0
2021,,,,Armiñón,%,Armiñón,100.0
2022,,,,Armiñón,%,Armiñón,100.0
2023,,,,Arraia-Maeztu,%,Arraia-Maeztu,100.0
2022,,,,Arraia-Maeztu,%,Arraia-Maeztu,100.0
2021,,,,Arraia-Maeztu,%,Arraia-Maeztu,100.0
2022,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.0
2023,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.0
2021,,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,100.0
2021,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,99.5
2023,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,100.0
2022,,,,Arrasate/Mondragón,%,Arrasate/Mondragón,97.2
2021,,,,Arratzu,%,Arratzu,100.0
2023,,,,Arratzu,%,Arratzu,100.0
2022,,,,Arratzu,%,Arratzu,100.0
2023,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,100.0
2022,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,100.0
2021,,,,Arratzua-Ubarrundia,%,Arratzua-Ubarrundia,100.0
2021,,,,Arrieta,%,Arrieta,100.0
2023,,,,Arrieta,%,Arrieta,100.0
2022,,,,Arrieta,%,Arrieta,100.0
2022,,,,Arrigorriaga,%,Arrigorriaga,95.3
2023,,,,Arrigorriaga,%,Arrigorriaga,100.0
2021,,,,Arrigorriaga,%,Arrigorriaga,100.0
2021,,,,Artea,%,Artea,100.0
2023,,,,Artea,%,Artea,100.0
2022,,,,Artea,%,Artea,100.0
2023,,,,Artzentales,%,Artzentales,100.0
2021,,,,Artzentales,%,Artzentales,100.0
2022,,,,Artzentales,%,Artzentales,100.0
2023,,,,Artziniega,%,Artziniega,100.0
2022,,,,Artziniega,%,Artziniega,95.5
2021,,,,Artziniega,%,Artziniega,100.0
2021,,,,Asparrena,%,Asparrena,100.0
2023,,,,Asparrena,%,Asparrena,100.0
2022,,,,Asparrena,%,Asparrena,76.9
2021,,,,Asteasu,%,Asteasu,91.7
2023,,,,Asteasu,%,Asteasu,100.0
2022,,,,Asteasu,%,Asteasu,100.0
2023,,,,Astigarraga,%,Astigarraga,100.0
2022,,,,Astigarraga,%,Astigarraga,100.0
2021,,,,Astigarraga,%,Astigarraga,99.0
2022,,,,Ataun,%,Ataun,100.0
2021,,,,Ataun,%,Ataun,100.0
2023,,,,Ataun,%,Ataun,100.0
2022,,,,Atxondo,%,Atxondo,83.3
2023,,,,Atxondo,%,Atxondo,100.0
2021,,,,Atxondo,%,Atxondo,100.0
2021,,,,Aulesti,%,Aulesti,100.0
2022,,,,Aulesti,%,Aulesti,88.9
2023,,,,Aulesti,%,Aulesti,100.0
2022,,,,Ayala/Aiara,%,Ayala/Aiara,96.3
2023,,,,Ayala/Aiara,%,Ayala/Aiara,100.0
2021,,,,Ayala/Aiara,%,Ayala/Aiara,100.0
2022,,,,Azkoitia,%,Azkoitia,95.7
2021,,,,Azkoitia,%,Azkoitia,100.0
2023,,,,Azkoitia,%,Azkoitia,100.0
2023,,,,Azpeitia,%,Azpeitia,100.0
2021,,,,Azpeitia,%,Azpeitia,100.0
2022,,,,Azpeitia,%,Azpeitia,99.3
2023,,,,Bakio,%,Bakio,100.0
2021,,,,Bakio,%,Bakio,100.0
2022,,,,Bakio,%,Bakio,96.7
2021,,,,Baliarrain,%,Baliarrain,100.0
2022,,,,Baliarrain,%,Baliarrain,100.0
2023,,,,Balmaseda,%,Balmaseda,100.0
2021,,,,Balmaseda,%,Balmaseda,100.0
2022,,,,Balmaseda,%,Balmaseda,96.1
2021,,,,Baños de Ebro/Mañueta,%,Baños de Ebro/Mañueta,100.0
