Year,Habilidad informática,Sexo,Edad,Territorio histórico,Units,Value
2021,Alguna habilidad informática,,16-24 años,,%,96.16
2023,Alguna habilidad informática,,16-24 años,,%,95.87
2020,Alguna habilidad informática,,16-24 años,,%,95.9
2022,Alguna habilidad informática,,16-24 años,,%,95.52
2019,Alguna habilidad informática,,16-24 años,,%,95.75
2020,Alguna habilidad informática,,16-24 años,Araba/Álava,%,98.43
2023,Alguna habilidad informática,,16-24 años,Araba/Álava,%,99.48
2022,Alguna habilidad informática,,16-24 años,Araba/Álava,%,94.58
2019,Alguna habilidad informática,,16-24 años,Araba/Álava,%,95.61
2021,Alguna habilidad informática,,16-24 años,Araba/Álava,%,96.8
2020,Alguna habilidad informática,,16-24 años,Bizkaia,%,94.24
2019,Alguna habilidad informática,,16-24 años,Bizkaia,%,97.06
2021,Alguna habilidad informática,,16-24 años,Bizkaia,%,94.38
2023,Alguna habilidad informática,,16-24 años,Bizkaia,%,93.78
2022,Alguna habilidad informática,,16-24 años,Bizkaia,%,95.39
2020,Alguna habilidad informática,,16-24 años,Gipuzkoa,%,97.22
2021,Alguna habilidad informática,,16-24 años,Gipuzkoa,%,98.44
2022,Alguna habilidad informática,,16-24 años,Gipuzkoa,%,96.1
2023,Alguna habilidad informática,,16-24 años,Gipuzkoa,%,97.29
2019,Alguna habilidad informática,,16-24 años,Gipuzkoa,%,94.0
2019,Alguna habilidad informática,,16-74 años,,%,67.04
2021,Alguna habilidad informática,,16-74 años,,%,75.0
2022,Alguna habilidad informática,,16-74 años,,%,68.79
2023,Alguna habilidad informática,,16-74 años,,%,71.49
2020,Alguna habilidad informática,,16-74 años,,%,69.83
2019,Alguna habilidad informática,,16-74 años,Araba/Álava,%,68.53
2023,Alguna habilidad informática,,16-74 años,Araba/Álava,%,71.3
2022,Alguna habilidad informática,,16-74 años,Araba/Álava,%,68.32
2021,Alguna habilidad informática,,16-74 años,Araba/Álava,%,75.39
2020,Alguna habilidad informática,,16-74 años,Araba/Álava,%,70.14
2021,Alguna habilidad informática,,16-74 años,Bizkaia,%,74.63
2019,Alguna habilidad informática,,16-74 años,Bizkaia,%,67.74
2022,Alguna habilidad informática,,16-74 años,Bizkaia,%,68.54
2020,Alguna habilidad informática,,16-74 años,Bizkaia,%,69.53
2023,Alguna habilidad informática,,16-74 años,Bizkaia,%,71.26
2020,Alguna habilidad informática,,16-74 años,Gipuzkoa,%,70.18
2022,Alguna habilidad informática,,16-74 años,Gipuzkoa,%,69.41
2021,Alguna habilidad informática,,16-74 años,Gipuzkoa,%,75.41
2019,Alguna habilidad informática,,16-74 años,Gipuzkoa,%,65.24
2023,Alguna habilidad informática,,16-74 años,Gipuzkoa,%,71.95
2020,Alguna habilidad informática,,25-74 años,,%,66.6
2021,Alguna habilidad informática,,25-74 años,,%,72.16
2023,Alguna habilidad informática,,25-74 años,,%,68.27
2022,Alguna habilidad informática,,25-74 años,,%,65.26
2019,Alguna habilidad informática,,25-74 años,,%,63.8
2022,Alguna habilidad informática,,25-74 años,Araba/Álava,%,65.18
2020,Alguna habilidad informática,,25-74 años,Araba/Álava,%,66.59
2021,Alguna habilidad informática,,25-74 años,Araba/Álava,%,72.47
2023,Alguna habilidad informática,,25-74 años,Araba/Álava,%,67.41
2019,Alguna habilidad informática,,25-74 años,Araba/Álava,%,65.47
2023,Alguna habilidad informática,,25-74 años,Bizkaia,%,68.42
2021,Alguna habilidad informática,,25-74 años,Bizkaia,%,72.12
2020,Alguna habilidad informática,,25-74 años,Bizkaia,%,66.58
2019,Alguna habilidad informática,,25-74 años,Bizkaia,%,64.66
2022,Alguna habilidad informática,,25-74 años,Bizkaia,%,65.03
2020,Alguna habilidad informática,,25-74 años,Gipuzkoa,%,66.64
2021,Alguna habilidad informática,,25-74 años,Gipuzkoa,%,72.07
2022,Alguna habilidad informática,,25-74 años,Gipuzkoa,%,65.66
2023,Alguna habilidad informática,,25-74 años,Gipuzkoa,%,68.42
2019,Alguna habilidad informática,,25-74 años,Gipuzkoa,%,61.65
2023,Alguna habilidad informática,Mujer,16-24 años,,%,98.77
2020,Alguna habilidad informática,Mujer,16-24 años,,%,96.5
2021,Alguna habilidad informática,Mujer,16-24 años,,%,96.66
2019,Alguna habilidad informática,Mujer,16-24 años,,%,97.88
2022,Alguna habilidad informática,Mujer,16-24 años,,%,97.55
2023,Alguna habilidad informática,Mujer,16-24 años,Araba/Álava,%,98.8
2022,Alguna habilidad informática,Mujer,16-24 años,Araba/Álava,%,96.48
2021,Alguna habilidad informática,Mujer,16-24 años,Araba/Álava,%,96.29
2019,Alguna habilidad informática,Mujer,16-24 años,Araba/Álava,%,98.78
2020,Alguna habilidad informática,Mujer,16-24 años,Araba/Álava,%,96.62
2023,Alguna habilidad informática,Mujer,16-24 años,Bizkaia,%,97.92
2019,Alguna habilidad informática,Mujer,16-24 años,Bizkaia,%,96.97
2021,Alguna habilidad informática,Mujer,16-24 años,Bizkaia,%,95.51
2022,Alguna habilidad informática,Mujer,16-24 años,Bizkaia,%,98.96
2020,Alguna habilidad informática,Mujer,16-24 años,Bizkaia,%,96.61
2020,Alguna habilidad informática,Mujer,16-24 años,Gipuzkoa,%,96.29
2022,Alguna habilidad informática,Mujer,16-24 años,Gipuzkoa,%,95.77
2023,Alguna habilidad informática,Mujer,16-24 años,Gipuzkoa,%,100.0
