Year,Servicios básicos,Units,Value
2011,Electricidad,Porcentaje,100.0
2016,Electricidad,Porcentaje,100.0
2021,Electricidad,Porcentaje,100.0
2022,Electricidad,Porcentaje,100.0
2017,Electricidad,Porcentaje,100.0
2010,Electricidad,Porcentaje,100.0
2014,Electricidad,Porcentaje,100.0
2013,Electricidad,Porcentaje,100.0
2015,Electricidad,Porcentaje,100.0
2012,Electricidad,Porcentaje,100.0
2023,Electricidad,Porcentaje,100.0
2018,Electricidad,Porcentaje,100.0
2020,Electricidad,Porcentaje,100.0
2019,Electricidad,Porcentaje,100.0
2021,Conexión a internet,Porcentaje,98.1
2015,Conexión a internet,Porcentaje,100.0
2013,Conexión a internet,Porcentaje,92.2
2019,Conexión a internet,Porcentaje,96.8
2014,Conexión a internet,Porcentaje,93.1
2011,Conexión a internet,Porcentaje,83.5
2012,Conexión a internet,Porcentaje,89.7
2017,Agua potable,Porcentaje,100.0
2014,Agua potable,Porcentaje,100.0
2018,Agua potable,Porcentaje,100.0
2015,Agua potable,Porcentaje,100.0
2016,Agua potable,Porcentaje,100.0
2012,Agua potable,Porcentaje,100.0
2019,Agua potable,Porcentaje,100.0
2013,Agua potable,Porcentaje,100.0
2010,Agua potable,Porcentaje,100.0
2011,Agua potable,Porcentaje,100.0
2020,Agua potable,Porcentaje,100.0
2021,Agua potable,Porcentaje,100.0
2022,Agua potable,Porcentaje,100.0
2023,Agua potable,Porcentaje,100.0
2011,Baños separados por sexo,Porcentaje,100.0
2012,Baños separados por sexo,Porcentaje,100.0
2013,Baños separados por sexo,Porcentaje,100.0
2015,Baños separados por sexo,Porcentaje,100.0
2023,Baños separados por sexo,Porcentaje,100.0
2019,Baños separados por sexo,Porcentaje,100.0
2017,Baños separados por sexo,Porcentaje,100.0
2018,Baños separados por sexo,Porcentaje,100.0
2020,Baños separados por sexo,Porcentaje,100.0
2021,Baños separados por sexo,Porcentaje,100.0
2022,Baños separados por sexo,Porcentaje,100.0
2016,Baños separados por sexo,Porcentaje,100.0
2014,Baños separados por sexo,Porcentaje,100.0
2010,Baños separados por sexo,Porcentaje,100.0
2010,Lavado de manos,Porcentaje,100.0
2011,Lavado de manos,Porcentaje,100.0
2012,Lavado de manos,Porcentaje,100.0
2013,Lavado de manos,Porcentaje,100.0
2014,Lavado de manos,Porcentaje,100.0
2015,Lavado de manos,Porcentaje,100.0
2016,Lavado de manos,Porcentaje,100.0
2017,Lavado de manos,Porcentaje,100.0
2021,Lavado de manos,Porcentaje,100.0
2018,Lavado de manos,Porcentaje,100.0
2019,Lavado de manos,Porcentaje,100.0
2020,Lavado de manos,Porcentaje,100.0
2022,Lavado de manos,Porcentaje,100.0
2023,Lavado de manos,Porcentaje,100.0
