Year,Sexo,Territorio histórico,Units,Value
2009,,,%,87.6
2018,,,%,95.8
2023,,,%,99.0
2013,,,%,93.3
2019,,,%,97.0
2020,,,%,96.9
2012,,,%,92.4
2016,,,%,95.8
2011,,,%,91.7
2017,,,%,96.1
2021,,,%,97.2
2022,,,%,97.6
2024,,,%,99.2
2014,,,%,93.6
2010,,,%,89.5
2008,,,%,87.8
2015,,,%,96.0
2024,,Araba/Álava,%,99.5
2018,,Araba/Álava,%,96.8
2023,,Araba/Álava,%,98.1
2020,,Araba/Álava,%,97.5
2019,,Araba/Álava,%,97.2
2016,,Araba/Álava,%,96.5
2021,,Araba/Álava,%,97.7
2009,,Araba/Álava,%,83.9
2013,,Araba/Álava,%,93.0
2012,,Araba/Álava,%,91.0
2011,,Araba/Álava,%,90.7
2008,,Araba/Álava,%,86.8
2017,,Araba/Álava,%,97.2
2015,,Araba/Álava,%,96.7
2010,,Araba/Álava,%,88.4
2014,,Araba/Álava,%,94.1
2022,,Araba/Álava,%,97.5
2009,,Bizkaia,%,88.1
2013,,Bizkaia,%,93.3
2019,,Bizkaia,%,97.3
2011,,Bizkaia,%,92.8
2014,,Bizkaia,%,93.8
2012,,Bizkaia,%,93.1
2021,,Bizkaia,%,96.7
2017,,Bizkaia,%,96.3
2018,,Bizkaia,%,95.8
2022,,Bizkaia,%,97.5
2020,,Bizkaia,%,96.9
2010,,Bizkaia,%,89.8
2015,,Bizkaia,%,95.8
2024,,Bizkaia,%,99.5
2016,,Bizkaia,%,96.5
2008,,Bizkaia,%,88.5
2023,,Bizkaia,%,99.3
2024,,Gipuzkoa,%,98.7
2015,,Gipuzkoa,%,96.1
2016,,Gipuzkoa,%,94.3
2020,,Gipuzkoa,%,96.5
2008,,Gipuzkoa,%,86.9
2018,,Gipuzkoa,%,95.3
2017,,Gipuzkoa,%,95.1
2023,,Gipuzkoa,%,99.0
2010,,Gipuzkoa,%,89.4
2014,,Gipuzkoa,%,93.3
2012,,Gipuzkoa,%,91.9
2009,,Gipuzkoa,%,88.4
2019,,Gipuzkoa,%,96.5
2022,,Gipuzkoa,%,97.9
2013,,Gipuzkoa,%,93.4
2011,,Gipuzkoa,%,90.6
2021,,Gipuzkoa,%,97.8
2021,Mujer,,%,97.4
2010,Mujer,,%,89.0
2015,Mujer,,%,96.4
2020,Mujer,,%,97.1
2024,Mujer,,%,99.4
2014,Mujer,,%,94.2
2022,Mujer,,%,98.3
2016,Mujer,,%,95.4
2018,Mujer,,%,96.1
2012,Mujer,,%,93.0
2023,Mujer,,%,99.1
2011,Mujer,,%,92.4
2013,Mujer,,%,94.1
2017,Mujer,,%,95.9
2019,Mujer,,%,97.9
2009,Mujer,,%,87.9
2008,Mujer,,%,88.1
2019,Mujer,Araba/Álava,%,97.5
2017,Mujer,Araba/Álava,%,95.4
2016,Mujer,Araba/Álava,%,94.7
2009,Mujer,Araba/Álava,%,83.1
2013,Mujer,Araba/Álava,%,94.5
2014,Mujer,Araba/Álava,%,93.8
2011,Mujer,Araba/Álava,%,90.2
2021,Mujer,Araba/Álava,%,98.4
2008,Mujer,Araba/Álava,%,86.2
2012,Mujer,Araba/Álava,%,91.4
2010,Mujer,Araba/Álava,%,87.7
2015,Mujer,Araba/Álava,%,97.5
2018,Mujer,Araba/Álava,%,96.7
2024,Mujer,Araba/Álava,%,99.5
2023,Mujer,Araba/Álava,%,98.6
2022,Mujer,Araba/Álava,%,97.6
2020,Mujer,Araba/Álava,%,98.3
2018,Mujer,Bizkaia,%,95.9
2023,Mujer,Bizkaia,%,99.4
2022,Mujer,Bizkaia,%,98.5
2020,Mujer,Bizkaia,%,96.9
2019,Mujer,Bizkaia,%,97.9
2015,Mujer,Bizkaia,%,96.0
2017,Mujer,Bizkaia,%,96.1
2011,Mujer,Bizkaia,%,93.7
2009,Mujer,Bizkaia,%,88.3
2013,Mujer,Bizkaia,%,93.4
2010,Mujer,Bizkaia,%,89.0
2008,Mujer,Bizkaia,%,88.6
2012,Mujer,Bizkaia,%,93.8
2016,Mujer,Bizkaia,%,96.5
2024,Mujer,Bizkaia,%,99.2
2014,Mujer,Bizkaia,%,94.0
2021,Mujer,Bizkaia,%,97.0
2023,Mujer,Gipuzkoa,%,98.9
2018,Mujer,Gipuzkoa,%,96.1
2024,Mujer,Gipuzkoa,%,99.5
2021,Mujer,Gipuzkoa,%,97.6
2019,Mujer,Gipuzkoa,%,98.1
2016,Mujer,Gipuzkoa,%,93.9
2015,Mujer,Gipuzkoa,%,96.4
2014,Mujer,Gipuzkoa,%,94.8
