Year,Series,Categoría de masas de agua,Units,Value
2019,Proporción de masas de agua de buena calidad,,%,60.9
2022,Proporción de masas de agua de buena calidad,,%,57.1
2015,Proporción de masas de agua de buena calidad,,%,46.8
2016,Proporción de masas de agua de buena calidad,,%,58.2
2017,Proporción de masas de agua de buena calidad,,%,64.4
2018,Proporción de masas de agua de buena calidad,,%,65.8
2024,Proporción de masas de agua de buena calidad,,%,59.6
2020,Proporción de masas de agua de buena calidad,,%,59.4
2023,Proporción de masas de agua de buena calidad,,%,55.7
2021,Proporción de masas de agua de buena calidad,,%,62.4
2021,Proporción de masas de agua superficiales de buena calidad,,%,56.6
2016,Proporción de masas de agua superficiales de buena calidad,,%,50.6
2024,Proporción de masas de agua superficiales de buena calidad,,%,53.3
2017,Proporción de masas de agua superficiales de buena calidad,,%,58.4
2022,Proporción de masas de agua superficiales de buena calidad,,%,50.3
2018,Proporción de masas de agua superficiales de buena calidad,,%,60.8
2023,Proporción de masas de agua superficiales de buena calidad,,%,48.5
2019,Proporción de masas de agua superficiales de buena calidad,,%,54.8
2015,Proporción de masas de agua superficiales de buena calidad,,%,36.0
2020,Proporción de masas de agua superficiales de buena calidad,,%,53.0
2021,Proporción de masas de agua superficiales de buena calidad,Ríos,%,55.1
2015,Proporción de masas de agua superficiales de buena calidad,Ríos,%,35.3
2017,Proporción de masas de agua superficiales de buena calidad,Ríos,%,57.5
2023,Proporción de masas de agua superficiales de buena calidad,Ríos,%,43.0
2024,Proporción de masas de agua superficiales de buena calidad,Ríos,%,48.4
2018,Proporción de masas de agua superficiales de buena calidad,Ríos,%,60.6
2020,Proporción de masas de agua superficiales de buena calidad,Ríos,%,48.0
2019,Proporción de masas de agua superficiales de buena calidad,Ríos,%,52.8
2022,Proporción de masas de agua superficiales de buena calidad,Ríos,%,45.3
2016,Proporción de masas de agua superficiales de buena calidad,Ríos,%,49.6
2019,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2017,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2016,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2023,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2021,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2020,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2015,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,75.0
2018,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2024,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2022,Proporción de masas de agua superficiales de buena calidad,Aguas costeras,%,100.0
2016,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,42.9
2015,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,21.4
2018,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,50.0
2019,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,50.0
2022,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,57.1
2017,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,50.0
2020,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,71.4
2023,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,57.1
2021,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,42.9
2024,Proporción de masas de agua superficiales de buena calidad,Aguas de transición,%,57.1
2019,Proporción de masas de agua superficiales de buena calidad,Embalses,%,100.0
2018,Proporción de masas de agua superficiales de buena calidad,Embalses,%,100.0
2015,Proporción de masas de agua superficiales de buena calidad,Embalses,%,100.0
2017,Proporción de masas de agua superficiales de buena calidad,Embalses,%,100.0
2022,Proporción de masas de agua superficiales de buena calidad,Embalses,%,91.7
2021,Proporción de masas de agua superficiales de buena calidad,Embalses,%,100.0
2023,Proporción de masas de agua superficiales de buena calidad,Embalses,%,91.7
2020,Proporción de masas de agua superficiales de buena calidad,Embalses,%,91.7
2024,Proporción de masas de agua superficiales de buena calidad,Embalses,%,91.7
2016,Proporción de masas de agua superficiales de buena calidad,Embalses,%,75.0
2018,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,11.1
2015,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,22.2
2017,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,11.1
2020,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,22.2
2019,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,11.1
2022,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,33.3
2021,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,22.2
2024,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,44.4
2023,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,33.3
2016,Proporción de masas de agua superficiales de buena calidad,Lagos y humedales,%,22.2
2016,Proporción de masas de agua subterráneas de buena calidad,,%,91.7
2023,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
2019,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
2017,Proporción de masas de agua subterráneas de buena calidad,,%,91.7
2020,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
2024,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
2021,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
2022,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
2015,Proporción de masas de agua subterráneas de buena calidad,,%,91.7
2018,Proporción de masas de agua subterráneas de buena calidad,,%,88.9
