Year,Units,Value
2007,Megajulios por USD constante de PPA (PIB),2.9
2008,Megajulios por USD constante de PPA (PIB),2.9
2009,Megajulios por USD constante de PPA (PIB),2.8
2010,Megajulios por USD constante de PPA (PIB),2.7
2011,Megajulios por USD constante de PPA (PIB),2.5
2012,Megajulios por USD constante de PPA (PIB),2.6
2013,Megajulios por USD constante de PPA (PIB),2.5
2014,Megajulios por USD constante de PPA (PIB),2.4
2015,Megajulios por USD constante de PPA (PIB),2.4
2016,Megajulios por USD constante de PPA (PIB),2.3
2017,Megajulios por USD constante de PPA (PIB),2.3
2018,Megajulios por USD constante de PPA (PIB),2.2
2019,Megajulios por USD constante de PPA (PIB),2.2
2020,Megajulios por USD constante de PPA (PIB),2.2
2021,Megajulios por USD constante de PPA (PIB),2.2
2022,Megajulios por USD constante de PPA (PIB),2.2
2023,Megajulios por USD constante de PPA (PIB),1.9
