Year,Series,Edad,Sexo,Tipo de contrato,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2020,Tasa de ocupación,16 años y más,,,,,,%,,50.8
2010,Tasa de ocupación,16 años y más,,,,,,%,,50.1
2019,Tasa de ocupación,16 años y más,,,,,,%,,50.6
2022,Tasa de ocupación,16 años y más,,,,,,%,,51.3
2015,Tasa de ocupación,16 años y más,,,,,,%,,48.7
2016,Tasa de ocupación,16 años y más,,,,,,%,,48.5
2021,Tasa de ocupación,16 años y más,,,,,,%,,49.7
2018,Tasa de ocupación,16 años y más,,,,,,%,,50.1
2023,Tasa de ocupación,16 años y más,,,,,,%,,52.2
2020,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,54.2
2019,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,54.4
2016,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,53.9
2018,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,54.4
2010,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,53.6
2015,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,53.5
2021,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,52.8
2022,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,54.0
2023,Tasa de ocupación,16 años y más,,,,,Abadiño,%,Abadiño,54.9
2015,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,56.0
2022,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,61.7
2010,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,58.3
2016,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,54.2
2019,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,58.2
2023,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,58.9
2021,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,60.8
2020,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,63.0
2018,Tasa de ocupación,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,55.4
2016,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,49.2
2018,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,50.7
2022,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,52.1
2010,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,51.8
2023,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,53.7
2021,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,50.3
2020,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,51.5
2019,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,51.8
2015,Tasa de ocupación,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,49.5
2023,Tasa de ocupación,16 años y más,,,,,Aduna,%,Aduna,67.3
