Year,Series,Sexo,Edad,Territorio histórico,Units,Value
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,10.9
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,8.7
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,8.5
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,9.2
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,8.6
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,9.4
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,8.2
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,8.0
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,10.9
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,13.2
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,9.9
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,11.6
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,7.9
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,,Porcentaje,7.9
2015,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,8.2
2022,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,8.6
2017,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,12.0
2010,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,12.7
2020,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,9.5
2021,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,7.6
2016,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,8.5
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,13.6
2012,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,13.0
2014,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,9.4
2011,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,12.6
2019,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,9.1
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,8.7
2023,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Araba/Álava,Porcentaje,8.9
2018,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,9.4
2013,"Proporción de jóvenes  que no cursan estudios, no están empleados ni reciben capacitación",,15-24 años,Bizkaia,Porcentaje,13.4
