Year,Series,Sexo,Territorio histórico,Units,Value
2013, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.7
2021, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.4
2018, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.3
2019, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.4
2017, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.8
2016, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.7
2022, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.5
2015, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.6
2020, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.6
2014, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.2
2024, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.5
2023, Lesiones ocupacionales mortales ,,,"Por 100,000 empleados",0.4
2016, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2022, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2023, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.0
2017, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",1.4
2021, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2013, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.8
2019, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2014, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.0
2015, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.0
2018, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2024, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2020, Lesiones ocupacionales mortales ,,Araba/Álava,"Por 100,000 empleados",0.7
2014, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.2
2021, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.4
2017, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.4
2013, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.7
2016, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.9
2019, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.2
2022, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.6
2024, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.4
2018, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.2
2015, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.2
2020, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.4
2023, Lesiones ocupacionales mortales ,,Bizkaia,"Por 100,000 empleados",0.4
2016, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.3
2020, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",1.0
2015, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",1.3
2017, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",1.0
2018, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.3
2013, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.7
2019, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.6
2014, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.3
2021, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.3
2024, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.6
2023, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.6
2022, Lesiones ocupacionales mortales ,,Gipuzkoa,"Por 100,000 empleados",0.3
2017, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.2
2020, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.2
2013, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.0
2019, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.0
2022, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.4
2023, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.0
2016, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.2
2018, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.0
2015, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.2
2024, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.2
2021, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.2
2014, Lesiones ocupacionales mortales ,Mujer,,"Por 100,000 empleados",0.0
2023, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2024, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2013, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2019, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2018, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2020, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2022, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2015, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2017, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",1.6
2014, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2021, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",1.5
2016, Lesiones ocupacionales mortales ,Mujer,Araba/Álava,"Por 100,000 empleados",0.0
2013, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2024, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2020, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2023, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2015, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2017, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2018, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2016, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.4
2014, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2021, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2022, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.4
2019, Lesiones ocupacionales mortales ,Mujer,Bizkaia,"Por 100,000 empleados",0.0
2018, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2019, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.0
2024, Lesiones ocupacionales mortales ,Mujer,Gipuzkoa,"Por 100,000 empleados",0.6
