Year,Sexo,Territorio histórico,Units,Value
2019,,,Porcentaje,20.5
2021,,,Porcentaje,20.0
2023,,,Porcentaje,18.9
2020,,,Porcentaje,20.5
2022,,,Porcentaje,19.2
2010,,,Porcentaje,22.9
2016,,,Porcentaje,19.8
2013,,,Porcentaje,21.1
2014,,,Porcentaje,20.5
2017,,,Porcentaje,20.3
2015,,,Porcentaje,19.7
2011,,,Porcentaje,22.8
2012,,,Porcentaje,22.3
2018,,,Porcentaje,20.9
2010,,Araba/Álava,Porcentaje,28.0
2017,,Araba/Álava,Porcentaje,24.9
2019,,Araba/Álava,Porcentaje,24.5
2013,,Araba/Álava,Porcentaje,24.4
2012,,Araba/Álava,Porcentaje,27.1
2016,,Araba/Álava,Porcentaje,27.5
2023,,Araba/Álava,Porcentaje,23.4
2011,,Araba/Álava,Porcentaje,27.5
2018,,Araba/Álava,Porcentaje,23.5
2022,,Araba/Álava,Porcentaje,24.7
2014,,Araba/Álava,Porcentaje,23.7
2015,,Araba/Álava,Porcentaje,27.3
2020,,Araba/Álava,Porcentaje,25.3
2021,,Araba/Álava,Porcentaje,25.3
2011,,Bizkaia,Porcentaje,18.8
2012,,Bizkaia,Porcentaje,18.9
2013,,Bizkaia,Porcentaje,18.3
2016,,Bizkaia,Porcentaje,15.9
2022,,Bizkaia,Porcentaje,14.9
2019,,Bizkaia,Porcentaje,15.8
2014,,Bizkaia,Porcentaje,17.8
2023,,Bizkaia,Porcentaje,14.6
2020,,Bizkaia,Porcentaje,15.8
2018,,Bizkaia,Porcentaje,17.3
2010,,Bizkaia,Porcentaje,18.6
2015,,Bizkaia,Porcentaje,15.7
2021,,Bizkaia,Porcentaje,15.8
2017,,Bizkaia,Porcentaje,17.4
2017,,Gipuzkoa,Porcentaje,22.7
2018,,Gipuzkoa,Porcentaje,25.2
2022,,Gipuzkoa,Porcentaje,23.4
2013,,Gipuzkoa,Porcentaje,24.1
2021,,Gipuzkoa,Porcentaje,24.1
2010,,Gipuzkoa,Porcentaje,27.1
2019,,Gipuzkoa,Porcentaje,25.9
2015,,Gipuzkoa,Porcentaje,22.3
2016,,Gipuzkoa,Porcentaje,22.4
2011,,Gipuzkoa,Porcentaje,26.9
2012,,Gipuzkoa,Porcentaje,25.3
2020,,Gipuzkoa,Porcentaje,25.5
2023,,Gipuzkoa,Porcentaje,23.5
2014,,Gipuzkoa,Porcentaje,23.1
2016,Mujer,,Porcentaje,8.6
2015,Mujer,,Porcentaje,8.8
2013,Mujer,,Porcentaje,8.6
2012,Mujer,,Porcentaje,10.0
2014,Mujer,,Porcentaje,8.4
2022,Mujer,,Porcentaje,8.6
2021,Mujer,,Porcentaje,9.1
2019,Mujer,,Porcentaje,9.4
2017,Mujer,,Porcentaje,8.6
2010,Mujer,,Porcentaje,10.2
2020,Mujer,,Porcentaje,9.1
2018,Mujer,,Porcentaje,9.3
2023,Mujer,,Porcentaje,7.9
2011,Mujer,,Porcentaje,9.7
2022,Mujer,Araba/Álava,Porcentaje,10.0
2018,Mujer,Araba/Álava,Porcentaje,10.0
2020,Mujer,Araba/Álava,Porcentaje,11.1
2010,Mujer,Araba/Álava,Porcentaje,11.5
2021,Mujer,Araba/Álava,Porcentaje,11.3
2019,Mujer,Araba/Álava,Porcentaje,11.3
2017,Mujer,Araba/Álava,Porcentaje,7.9
2015,Mujer,Araba/Álava,Porcentaje,13.2
2016,Mujer,Araba/Álava,Porcentaje,10.5
2013,Mujer,Araba/Álava,Porcentaje,10.5
2012,Mujer,Araba/Álava,Porcentaje,12.4
2011,Mujer,Araba/Álava,Porcentaje,11.5
2014,Mujer,Araba/Álava,Porcentaje,8.6
2023,Mujer,Araba/Álava,Porcentaje,10.5
2022,Mujer,Bizkaia,Porcentaje,6.2
2023,Mujer,Bizkaia,Porcentaje,5.6
2019,Mujer,Bizkaia,Porcentaje,6.7
2018,Mujer,Bizkaia,Porcentaje,7.6
2016,Mujer,Bizkaia,Porcentaje,7.3
2017,Mujer,Bizkaia,Porcentaje,7.8
2014,Mujer,Bizkaia,Porcentaje,7.9
2021,Mujer,Bizkaia,Porcentaje,7.1
2013,Mujer,Bizkaia,Porcentaje,7.3
2012,Mujer,Bizkaia,Porcentaje,8.3
2015,Mujer,Bizkaia,Porcentaje,7.0
2011,Mujer,Bizkaia,Porcentaje,7.6
2010,Mujer,Bizkaia,Porcentaje,8.3
2020,Mujer,Bizkaia,Porcentaje,6.6
2022,Mujer,Gipuzkoa,Porcentaje,11.9
2021,Mujer,Gipuzkoa,Porcentaje,11.4
2020,Mujer,Gipuzkoa,Porcentaje,12.2
2019,Mujer,Gipuzkoa,Porcentaje,12.7
2018,Mujer,Gipuzkoa,Porcentaje,11.7
2017,Mujer,Gipuzkoa,Porcentaje,10.1
2023,Mujer,Gipuzkoa,Porcentaje,10.4
2016,Mujer,Gipuzkoa,Porcentaje,9.8
2015,Mujer,Gipuzkoa,Porcentaje,9.8
2014,Mujer,Gipuzkoa,Porcentaje,9.2
2013,Mujer,Gipuzkoa,Porcentaje,9.8
2012,Mujer,Gipuzkoa,Porcentaje,11.7
2011,Mujer,Gipuzkoa,Porcentaje,12.2
2010,Mujer,Gipuzkoa,Porcentaje,12.6
2021,Hombre,,Porcentaje,30.0
2023,Hombre,,Porcentaje,29.0
2019,Hombre,,Porcentaje,30.5
2013,Hombre,,Porcentaje,32.0
2020,Hombre,,Porcentaje,30.9
2016,Hombre,,Porcentaje,29.9
2015,Hombre,,Porcentaje,29.3
2010,Hombre,,Porcentaje,33.1
2018,Hombre,,Porcentaje,31.3
2017,Hombre,,Porcentaje,30.8
2012,Hombre,,Porcentaje,32.8
2022,Hombre,,Porcentaje,28.9
2014,Hombre,,Porcentaje,31.3
2011,Hombre,,Porcentaje,33.9
2021,Hombre,Araba/Álava,Porcentaje,37.4
2022,Hombre,Araba/Álava,Porcentaje,37.7
2012,Hombre,Araba/Álava,Porcentaje,39.0
2015,Hombre,Araba/Álava,Porcentaje,38.9
2013,Hombre,Araba/Álava,Porcentaje,35.7
2020,Hombre,Araba/Álava,Porcentaje,37.1
2011,Hombre,Araba/Álava,Porcentaje,40.3
2018,Hombre,Araba/Álava,Porcentaje,35.5
2016,Hombre,Araba/Álava,Porcentaje,41.8
2014,Hombre,Araba/Álava,Porcentaje,36.5
2010,Hombre,Araba/Álava,Porcentaje,41.3
2023,Hombre,Araba/Álava,Porcentaje,34.7
2017,Hombre,Araba/Álava,Porcentaje,39.5
2019,Hombre,Araba/Álava,Porcentaje,35.8
2023,Hombre,Bizkaia,Porcentaje,23.1
2022,Hombre,Bizkaia,Porcentaje,23.1
2021,Hombre,Bizkaia,Porcentaje,24.0
2020,Hombre,Bizkaia,Porcentaje,24.5
2019,Hombre,Bizkaia,Porcentaje,24.1
2018,Hombre,Bizkaia,Porcentaje,26.2
2016,Hombre,Bizkaia,Porcentaje,24.1
2017,Hombre,Bizkaia,Porcentaje,26.1
2015,Hombre,Bizkaia,Porcentaje,23.8
2014,Hombre,Bizkaia,Porcentaje,26.8
2013,Hombre,Bizkaia,Porcentaje,27.9
2012,Hombre,Bizkaia,Porcentaje,28.1
2011,Hombre,Bizkaia,Porcentaje,28.4
2010,Hombre,Bizkaia,Porcentaje,27.1
2020,Hombre,Gipuzkoa,Porcentaje,37.5
2019,Hombre,Gipuzkoa,Porcentaje,37.7
2018,Hombre,Gipuzkoa,Porcentaje,37.0
2017,Hombre,Gipuzkoa,Porcentaje,34.0
2016,Hombre,Gipuzkoa,Porcentaje,33.2
2015,Hombre,Gipuzkoa,Porcentaje,33.3
2011,Hombre,Gipuzkoa,Porcentaje,39.4
2014,Hombre,Gipuzkoa,Porcentaje,35.5
2012,Hombre,Gipuzkoa,Porcentaje,37.3
2013,Hombre,Gipuzkoa,Porcentaje,36.7
2010,Hombre,Gipuzkoa,Porcentaje,38.9
2023,Hombre,Gipuzkoa,Porcentaje,35.5
2022,Hombre,Gipuzkoa,Porcentaje,33.6
2021,Hombre,Gipuzkoa,Porcentaje,35.7
