Year,Series,Territorio histórico,Units,Value
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.89
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.4
2012,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,96.6
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.97
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.99
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.85
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.96
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.97
2013,"Proporción de hogares cubiertos con redes móviles 3,5G",,%,99.5
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,99.83
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,99.93
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,99.93
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,99.81
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,99.94
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,100.0
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Araba/Álava,%,98.7
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,100.0
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,99.99
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,99.8
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,99.94
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,99.98
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,100.0
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Bizkaia,%,100.0
2015,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.79
2017,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.92
2018,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.95
2020,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.99
2019,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.95
2014,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.0
2016,"Proporción de hogares cubiertos con redes móviles 3,5G",Gipuzkoa,%,99.78
2017,Proporción de hogares cubiertos con redes móviles 4G,,%,99.01
2025,Proporción de hogares cubiertos con redes móviles 4G,,%,99.96
2020,Proporción de hogares cubiertos con redes móviles 4G,,%,99.98
2015,Proporción de hogares cubiertos con redes móviles 4G,,%,79.64
2021,Proporción de hogares cubiertos con redes móviles 4G,,%,99.99
2018,Proporción de hogares cubiertos con redes móviles 4G,,%,99.89
2024,Proporción de hogares cubiertos con redes móviles 4G,,%,99.96
2022,Proporción de hogares cubiertos con redes móviles 4G,,%,99.97
2014,Proporción de hogares cubiertos con redes móviles 4G,,%,55.1
2023,Proporción de hogares cubiertos con redes móviles 4G,,%,99.96
2016,Proporción de hogares cubiertos con redes móviles 4G,,%,93.46
2019,Proporción de hogares cubiertos con redes móviles 4G,,%,99.95
2019,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.7
2018,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.7
2017,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,97.92
2022,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.97
2020,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.99
2025,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.95
2016,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,90.02
2023,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.92
2024,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.95
2015,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,79.54
2021,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,99.98
2014,Proporción de hogares cubiertos con redes móviles 4G,Araba/Álava,%,76.0
2019,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.97
2020,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.99
2017,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.52
2016,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,95.37
2015,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,85.25
2025,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.99
2024,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.99
2023,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.98
2014,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,68.5
2018,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.97
2022,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,99.98
2021,Proporción de hogares cubiertos con redes móviles 4G,Bizkaia,%,100.0
2023,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.93
2022,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.96
2021,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.98
2020,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.95
2019,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.94
2018,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.94
2017,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,98.71
2015,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,70.63
2014,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,23.7
2016,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,92.01
2025,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.92
2024,Proporción de hogares cubiertos con redes móviles 4G,Gipuzkoa,%,99.92
2022,Proporción de hogares cubiertos con redes móviles 5G,,%,84.6
2025,Proporción de hogares cubiertos con redes móviles 5G,,%,99.62
2021,Proporción de hogares cubiertos con redes móviles 5G,,%,66.8
2023,Proporción de hogares cubiertos con redes móviles 5G,,%,95.8
2024,Proporción de hogares cubiertos con redes móviles 5G,,%,97.2
2024,Proporción de hogares cubiertos con redes móviles 5G,Araba/Álava,%,94.14
2025,Proporción de hogares cubiertos con redes móviles 5G,Araba/Álava,%,99.19
2023,Proporción de hogares cubiertos con redes móviles 5G,Araba/Álava,%,92.67
2025,Proporción de hogares cubiertos con redes móviles 5G,Bizkaia,%,99.82
2024,Proporción de hogares cubiertos con redes móviles 5G,Bizkaia,%,98.1
2023,Proporción de hogares cubiertos con redes móviles 5G,Bizkaia,%,97.58
2024,Proporción de hogares cubiertos con redes móviles 5G,Gipuzkoa,%,97.18
2023,Proporción de hogares cubiertos con redes móviles 5G,Gipuzkoa,%,94.44
2025,Proporción de hogares cubiertos con redes móviles 5G,Gipuzkoa,%,99.5
