Year,Value,Units,Series,GeoCode
2012,33.73,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2014,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2023,34.52,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2019,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2024,35.32,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2017,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2015,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2016,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2022,34.52,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2018,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2020,34.13,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2013,33.73,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2021,34.52,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2011,33.73,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2010,33.73,Porcentaje,Proporción de municipios que disponen de un plan municipal de emergencias,
2013,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2023,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2020,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2016,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2011,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2014,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2024,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2019,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2021,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2015,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2022,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2018,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2017,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2012,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
2010,100.0,Porcentaje,Proporción de municipios cubiertos por un plan de emergencias territorial,
