Year,Value,Units,Series
2014,6.84,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2015,6.13,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2016,6.94,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2017,8.34,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2018,7.92,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2019,6.11,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2020,4.99,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2021,7.2,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2022,6.88,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2023,6.1,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
2024,5.91,Millones de euros,Ayuda Oficial al Desarrollo para la reducción de la pobreza (desembolso bruto total)
