Year,Value,Units,Series
2011,434.5,Kg per cápita,Residuos urbanos recogidos per cápita
2012,457.8,Kg per cápita,Residuos urbanos recogidos per cápita
2014,469.5,Kg per cápita,Residuos urbanos recogidos per cápita
2015,462.3,Kg per cápita,Residuos urbanos recogidos per cápita
2022,446.2,Kg per cápita,Residuos urbanos recogidos per cápita
2013,463.0,Kg per cápita,Residuos urbanos recogidos per cápita
2020,449.7,Kg per cápita,Residuos urbanos recogidos per cápita
2017,472.3,Kg per cápita,Residuos urbanos recogidos per cápita
2019,469.8,Kg per cápita,Residuos urbanos recogidos per cápita
2021,458.4,Kg per cápita,Residuos urbanos recogidos per cápita
2016,474.7,Kg per cápita,Residuos urbanos recogidos per cápita
2018,485.3,Kg per cápita,Residuos urbanos recogidos per cápita
2010,445.9,Kg per cápita,Residuos urbanos recogidos per cápita
2017,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2021,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2010,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2012,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2015,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2011,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2022,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2019,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2013,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2016,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2020,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2014,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
2018,100.0,Porcentaje,Proporción de residuos urbanos recogidos y administrados en instalaciones controladas
