Year,Value,Units,Series
2011,67.21,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2014,49.62,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2017,65.96,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2020,65.98,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2010,70.73,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2022,78.48,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2015,49.43,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2016,52.35,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2021,73.9,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2018,60.66,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2012,61.89,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2019,63.9,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2013,40.98,Millones de euros,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales
2010,0.11,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2011,0.1,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2012,0.09,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2013,0.06,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2014,0.07,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2015,0.07,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2016,0.07,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2017,0.09,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2018,0.08,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2019,0.08,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2020,0.09,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2021,0.09,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
2022,0.09,Porcentaje,Ayuda Oficial al Desarrollo neta de las administraciones públicas autonómicas y locales en proporción al PIB
