Year,Value,Units,Series
2022,2.6,Índice,Indicador de anomalías en los precios de los alimentos
2009,-1.0,Índice,Indicador de anomalías en los precios de los alimentos
2008,0.6,Índice,Indicador de anomalías en los precios de los alimentos
2021,-0.3,Índice,Indicador de anomalías en los precios de los alimentos
2004,0.3,Índice,Indicador de anomalías en los precios de los alimentos
2014,-0.9,Índice,Indicador de anomalías en los precios de los alimentos
2019,-0.5,Índice,Indicador de anomalías en los precios de los alimentos
2017,-0.4,Índice,Indicador de anomalías en los precios de los alimentos
2006,0.2,Índice,Indicador de anomalías en los precios de los alimentos
2011,-0.3,Índice,Indicador de anomalías en los precios de los alimentos
2023,1.9,Índice,Indicador de anomalías en los precios de los alimentos
2003,0.4,Índice,Indicador de anomalías en los precios de los alimentos
2010,-0.9,Índice,Indicador de anomalías en los precios de los alimentos
2020,-0.2,Índice,Indicador de anomalías en los precios de los alimentos
2012,0.0,Índice,Indicador de anomalías en los precios de los alimentos
2016,-0.5,Índice,Indicador de anomalías en los precios de los alimentos
2005,0.1,Índice,Indicador de anomalías en los precios de los alimentos
2007,0.5,Índice,Indicador de anomalías en los precios de los alimentos
2015,-0.4,Índice,Indicador de anomalías en los precios de los alimentos
2018,-0.5,Índice,Indicador de anomalías en los precios de los alimentos
2024,0.2,Índice,Indicador de anomalías en los precios de los alimentos
2013,-0.2,Índice,Indicador de anomalías en los precios de los alimentos
2024,129.1,Índice,Índice de precio de los alimentos
2019,95.6,Índice,Índice de precio de los alimentos
2009,83.9,Índice,Índice de precio de los alimentos
2012,87.3,Índice,Índice de precio de los alimentos
2021,100.0,Índice,Índice de precio de los alimentos
2016,92.1,Índice,Índice de precio de los alimentos
2002,64.9,Índice,Índice de precio de los alimentos
2004,70.6,Índice,Índice de precio de los alimentos
2003,67.7,Índice,Índice de precio de los alimentos
2018,94.7,Índice,Índice de precio de los alimentos
2011,85.0,Índice,Índice de precio de los alimentos
2020,98.2,Índice,Índice de precio de los alimentos
2008,84.1,Índice,Índice de precio de los alimentos
2023,123.7,Índice,Índice de precio de los alimentos
2005,73.2,Índice,Índice de precio de los alimentos
2010,83.3,Índice,Índice de precio de los alimentos
2015,90.6,Índice,Índice de precio de los alimentos
2017,93.3,Índice,Índice de precio de los alimentos
2007,79.1,Índice,Índice de precio de los alimentos
2013,89.9,Índice,Índice de precio de los alimentos
2006,76.2,Índice,Índice de precio de los alimentos
2022,111.4,Índice,Índice de precio de los alimentos
2014,89.3,Índice,Índice de precio de los alimentos
