Year,Value,Units,Series
2012,82.67,Años,Esperanza de vida al nacer
2010,82.36,Años,Esperanza de vida al nacer
2013,83.09,Años,Esperanza de vida al nacer
2020,83.09,Años,Esperanza de vida al nacer
2016,83.35,Años,Esperanza de vida al nacer
2015,82.97,Años,Esperanza de vida al nacer
2011,82.39,Años,Esperanza de vida al nacer
2014,83.26,Años,Esperanza de vida al nacer
2017,83.48,Años,Esperanza de vida al nacer
2022,83.36,Años,Esperanza de vida al nacer
2021,83.69,Años,Esperanza de vida al nacer
2018,83.59,Años,Esperanza de vida al nacer
2019,83.9,Años,Esperanza de vida al nacer
