Year,Value,Units,Series
2014,1.39,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2015,1.16,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2016,1.35,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2017,1.75,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2018,1.2,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2019,0.59,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2020,0.43,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2021,1.25,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2022,1.43,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2023,1.02,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
2024,1.04,Millones de euros,Ayuda Oficial al Desarrollo destinada a la investigación médica y la atención sanitaria básica (desembolso bruto total)
